wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
67123,0,0,0
1691,1,0,0
2470,1,0,0
930,0,12,0
23996,7,0,0
2426,4,0,0
10492,0,0,0
12599,0,0,0
2979,10,1,0
21375,15,0,0
1999,0,0,0
10629,3,0,0
2130,13,0,0
1758,0,0,0
4599,0,3,0
648,0,0,0
5999,0,7,0
631,0,25,0
23292,0,0,0
11420,0,0,0
3045,1,0,0
5792,6,0,0
2131,0,0,0
584,10,0,0
8135,6,0,0
2144,6,0,0
14561,2,0,0
327,0,6,0
23996,2,0,0
707,3,0,0
3605,2,0,0
935,0,0,0
2054,0,1,0
135962,1,0,0
2588,52,0,0
1081,0,0,0
928,1,0,0
2465,0,10,0
10794,3,1,0
48854,0,0,0
135962,1,0,0
5420,0,0,0
19479,1,1,0
3910,5,4,0
3409,4,0,0
3903,6,0,0
12023,0,20,0
2840,1,5,0
8570,1,0,0
2842,2,0,0
3727,0,17,0
7565,2,1,0
19479,1,0,2
2899,2,0,0
5662,2,0,0
9642,0,0,0
2109,5,2,0
11919,0,0,0
663,4,0,0
18662,0,0,0
2979,8,3,0
48854,0,0,0
5331,2,0,0
5666,0,0,0
997,4,0,0
4342,20,15,0
2977,0,0,0
548,7,0,0
4489,0,0,0
13637,2,0,0
14599,0,0,0
2309,0,0,0
1748,0,12,10
10869,4,0,0
1205,0,0,0
5792,0,7,0
6935,7,0,0
401,15,0,0
29088,25,0,0
5512,6,10,0
1879,8,0,0
1496,0,0,0
10794,7,0,0
10276,0,0,0
29088,12,0,0
2843,0,1,0
14730,0,0,0
995,3,0,0
2752,5,0,0
899,1,0,0
1579,2,0,0
374,7,0,0
3213,3,0,0
3516,0,0,0
12760,0,1,0
10253,5,0,0
19986,0,0,0
3199,2,1,0
2118,3,0,0
16044,0,0,0
3075,0,0,0
7524,0,0,0
17511,0,0,0
4941,2,2,0
376,10,0,0
1709,1,0,0
5336,6,0,0
135962,1,0,0
3213,5,0,0
797,1,0,0
135962,1,0,0
16975,4,0,0
14975,1,8,0
3862,0,0,0
18840,3,0,0
161,0,6,0
18492,0,10,10
2470,2,0,0
4358,3,0,0
1296,10,0,0
37180,1,0,0
48854,0,0,0
6241,12,0,0
2130,0,0,0
2845,0,0,0
5040,0,0,0
5420,0,0,0
4787,4,0,0
3659,0,1,0
15590,0,0,0
3993,0,0,0
1964,0,20,0
1262,7,0,0
3247,2,0,0
14737,0,0,0
2708,0,0,0
877,0,0,0
8664,2,0,0
127964,0,0,0
16044,1,0,0
3598,1,0,0
592,1,0,0
2447,8,0,0
7173,0,0,0
3942,3,0,0
4601,1,0,0
12599,0,0,0
1812,0,0,0
3921,6,0,0
3075,2,10,0
261,1,0,0
1199,0,0,0
6436,2,0,0
13954,0,0,0
12131,0,4,0
48854,0,0,0
6892,0,1,0
12599,0,0,0
17405,7,1,0
5428,5,0,0
1316,3,0,0
14032,0,0,0
21375,5,0,0
3121,1,0,0
12005,2,0,0
748,0,0,0
946,5,0,0
135962,1,0,0
2899,1,0,0
7865,0,0,0
9573,0,2,0
12131,1,0,0
1143,5,0,0
2139,2,0,0
7004,5,0,0
3409,8,0,0
9021,3,0,0
19986,0,0,0
5942,1,0,0
16041,6,0,0
3751,1,0,0
1736,0,0,0
1416,0,10,0
1217,1,0,0
10869,1,0,0
135962,1,0,0
10990,0,0,0
8664,0,17,0
10562,1,0,0
13610,0,15,0
67123,0,0,0
48854,0,0,0
1296,6,0,0
18278,2,0,0
17931,0,1,0
9174,0,0,0
7834,2,0,0
1503,0,18,0
1902,2,4,0
2510,0,0,0
2588,2,0,0
181,0,0,0
12131,0,0,0
4967,0,0,0
5508,0,0,0
1902,2,4,0
4852,0,2,0
5804,3,0,0
4985,3,0,0
17931,0,3,0
8691,25,5,0
6874,6,0,0
3869,11,0,0
11776,15,0,0
13680,0,0,0
951,4,1,0
19479,1,0,0
11825,0,2,0
1804,3,0,0
2119,3,0,0
1079,7,5,0
8763,6,0,0
17931,0,1,0
3910,5,0,0
1715,0,0,0
6192,0,2,0
3852,2,0,0
611,9,0,0
37180,0,0,0
16044,7,0,0
2133,2,0,0
16393,8,0,0
12944,0,0,0
80856,0,1,0
498,1,0,0
11420,2,0,0
2958,3,0,0
14975,0,0,0
3601,0,0,0
11709,7,0,0
9642,0,0,0
3199,3,0,0
1081,1,0,0
1623,1,0,0
4496,1,0,0
10794,18,0,0
3333,0,0,0
15590,0,0,0
4322,0,0,0
3552,1,0,0
1202,0,2,0
45089,0,0,0
23996,7,0,0
10329,8,0,0
316,10,0,0
6562,2,0,0
6175,0,1,0
19479,7,0,0
2395,1,3,0
3850,6,0,0
3131,2,0,0
3409,10,0,0
1194,0,0,0
36010,0,0,0
798,1,0,0
19986,0,0,0
14561,16,0,0
16975,4,0,0
179,0,0,0
3409,7,0,0
48854,2,0,0
2145,0,0,0
1334,0,0,0
14561,2,0,0
3073,0,0,0
4788,0,0,0
14050,0,0,0
48854,0,0,0
23292,2,0,0
6312,13,0,0
1953,16,0,0
48854,0,0,0
2130,0,0,0
2650,3,0,0
2432,4,0,0
6061,1,0,0
11825,0,3,0
327,0,17,0
1487,2,0,0
26443,3,10,0
3717,10,0,0
4614,1,0,0
4126,6,0,0
2714,0,0,0
3319,0,0,0
14614,15,0,0
4787,1,0,0
2275,2,0,0
2635,5,1,0
2166,2,0,0
14032,0,0,0
45089,0,0,0
14975,0,1,0
1061,4,0,0
331,9,0,0
11420,1,0,0
4599,0,10,0
12599,0,0,0
16975,1,0,0
34,0,0,0
2309,0,0,0
1124,1,0,0
1125,4,0,0
9833,0,0,0
6111,21,0,0
17664,7,1,0
5331,2,0,0
1488,0,0,0
767,0,0,0
2062,0,0,0
12599,0,0,0
2869,0,0,0
12743,0,0,0
4129,5,5,0
3199,0,7,0
11420,1,0,0
1135,2,0,0
2869,2,0,0
3073,0,0,0
12760,2,0,0
19479,1,0,2
5336,2,0,0
19479,0,0,0
6705,0,0,0
11636,1,0,0
1195,5,1,0
1463,0,0,0
5738,0,0,0
26443,0,3,0
10794,18,0,0
