draw,age,year,Na
1,0,2022,249903600
1,1,2022,73406270
1,2,2022,85950500
1,3,2022,52669670
1,4,2022,9960022
1,5,2022,27239710
1,6,2022,17282560
1,7,2022,199298500
2,0,2022,145147600
2,1,2022,112279500
2,2,2022,76556840
2,3,2022,18102680
2,4,2022,31493790
2,5,2022,20182640
2,6,2022,25828070
2,7,2022,165768100
3,0,2022,218652700
3,1,2022,112536800
3,2,2022,68600090
3,3,2022,22091250
3,4,2022,35026760
3,5,2022,18256950
3,6,2022,22082440
3,7,2022,163150300
4,0,2022,117576000
4,1,2022,23401900
4,2,2022,65362400
4,3,2022,41377000
4,4,2022,43198100
4,5,2022,99850200
4,6,2022,56334600
4,7,2022,130927000
5,0,2022,92885290
5,1,2022,88866040
5,2,2022,17631990
5,3,2022,41470440
5,4,2022,23241080
5,5,2022,33948340
5,6,2022,79710700
5,7,2022,138040500
6,0,2022,124529200
6,1,2022,113902200
6,2,2022,57121990
6,3,2022,49744390
6,4,2022,11384980
6,5,2022,27374920
6,6,2022,17219590
6,7,2022,173108600
7,0,2022,143262300
7,1,2022,73513090
7,2,2022,24277380
7,3,2022,49393910
7,4,2022,9456535
7,5,2022,20781220
7,6,2022,11697850
7,7,2022,150793500
8,0,2022,129693800
8,1,2022,177281700
8,2,2022,57522670
8,3,2022,42843870
8,4,2022,9844504
8,5,2022,18367380
8,6,2022,13342140
8,7,2022,110211000
9,0,2022,263487700
9,1,2022,104177100
9,2,2022,72319430
9,3,2022,19131220
9,4,2022,34782300
9,5,2022,19490800
9,6,2022,21085070
9,7,2022,161292300
10,0,2022,104530700
10,1,2022,86449000
10,2,2022,16679550
10,3,2022,39377860
10,4,2022,23746460
10,5,2022,27113600
10,6,2022,53008320
10,7,2022,115007800
11,0,2022,106709000
11,1,2022,15560500
11,2,2022,48080200
11,3,2022,29703200
11,4,2022,37742200
11,5,2022,83471600
11,6,2022,42431100
11,7,2022,93301700
12,0,2022,125826000
12,1,2022,32517900
12,2,2022,76657200
12,3,2022,47519900
12,4,2022,49211300
12,5,2022,123908000
12,6,2022,55929000
12,7,2022,144425000
13,0,2022,149932200
13,1,2022,96478100
13,2,2022,23922900
13,3,2022,55358650
13,4,2022,27232710
13,5,2022,34020970
