state,length,prob_catch,cdf_star,prob_star,
NC,18,0.0341539,0.950748941,0.03415,
NC,19,0.0219007,0.972649644,0.02190,
NC,20,0.0148146,0.987464229,0.01481,
NC,21,0.0048843,0.992348508,0.00488,
NC,22,0.0051859,0.997534402,0.00519,
NC,23,0.0007867,0.998321081,0.00079,
NC,24,0.0007455,0.999066623,0.00075,
NC,25,0.0004743,0.999540914,0.00047,
NC,26,0.0001260,0.999666891,0.00013,
NC,27,0.0000000,0.999666891,0.00000,
NC,28,0.0000022,0.999669075,0.00000,
NC,29,0.0000000,0.999669075,0.00000,
NC,30,0.0003309,1,0.00033,
NC,32,0.0000000,1,0.00000,
NJ,5,0.0003279,0.0003,0.00033,
NJ,7,0.0003279,0.000647306,0.00032,
NJ,8,0.0019673,0.002563853,0.00192,
NJ,9,0.0050822,0.007514933,0.00495,
NJ,10,0.0288536,0.035624289,0.02811,
NJ,11,0.0642047,0.098172939,0.06255,
NJ,12,0.1090388,0.204399351,0.10623,
NJ,13,0.1282016,0.32929433,0.12489,
NJ,14,0.1428062,0.468417158,0.13912,
NJ,15,0.1427483,0.607483588,0.13907,
NJ,16,0.1383303,0.742246013,0.13476,
NJ,17,0.1208803,0.86,0.11775,
NJ,18,0.0546136,0.925220823,0.06522,
NJ,19,0.0277529,0.958363908,0.03314,
NJ,20,0.0142250,0.975351726,0.01699,
NJ,21,0.0078770,0.984758574,0.00941,
NJ,22,0.0048928,0.990601653,0.00584,
NJ,23,0.0028472,0.994001827,0.00340,
NJ,24,0.0029171,0.997485435,0.00348,
NJ,25,0.0009527,0.998623114,0.00114,
NJ,26,0.0003766,0.999072808,0.00045,
NJ,27,0.0000064,0.999080413,0.00001,
NJ,28,0.0000282,0.999114042,0.00003,
NJ,29,0.0000861,0.999216873,0.00010,
NJ,30,0.0001639,0.999412655,0.00020,
NJ,31,0.0001639,0.999608437,0.00020,
NJ,32,0.0000000,0.999608437,0.00000,
NJ,34,0.0001639,0.999804218,0.00020,
NJ,36,0.0001639,1,0.00020,
NY,6,0.0001752,0.0002,0.00018,
NY,7,0.0019276,0.002170911,0.00200,
NY,8,0.0024533,0.00471086,0.00254,
NY,9,0.0033295,0.008157933,0.00345,
NY,10,0.0077104,0.01614063,0.00798,
NY,11,0.0257724,0.042823203,0.02668,
NY,12,0.0619211,0.106931021,0.06411,
NY,13,0.1169134,0.227973187,0.12104,
NY,14,0.1590287,0.39261802,0.16464,
NY,15,0.1705775,0.569219502,0.17660,
NY,16,0.1490554,0.723538794,0.15432,
NY,17,0.1267188,0.854732727,0.13119,
NY,18,0.0697962,0.927,0.07227,
NY,19,0.0366284,0.952557857,0.02556,
NY,20,0.0222270,0.968067011,0.01551,
NY,21,0.0146338,0.978277918,0.01021,
NY,22,0.0119372,0.986607234,0.00833,
NY,23,0.0061902,0.990926512,0.00432,
NY,24,0.0039197,0.993661505,0.00273,
NY,25,0.0040932,0.996517595,0.00286,
NY,26,0.0020540,0.997950796,0.00143,
NY,27,0.0011981,0.998786799,0.00084,
NY,28,0.0004872,0.999126736,0.00034,
NY,29,0.0008947,0.999751016,0.00062,
NY,30,0.0003556,0.999999167,0.00025,
NY,32,0.0000012,1,0.00000,
RI,6,0.0001752,0.0001752,0.00018,
RI,7,0.0019276,0.002149382,0.00197,
RI,8,0.0024533,0.004661932,0.00251,
RI,9,0.0033295,0.00807182,0.00341,
RI,10,0.0077104,0.015968403,0.00790,
RI,11,0.0257724,0.042363139,0.02639,
RI,12,0.0619211,0.105779394,0.06342,
RI,13,0.1169134,0.22551582,0.11974,
RI,14,0.1590287,0.388384549,0.16287,
RI,15,0.1705775,0.563080944,0.17470,
RI,16,0.1490554,0.715735519,0.15265,
RI,17,0.1267188,0.845514199,0.12978,
RI,18,0.0697962,0.917,0.07149,
RI,19,0.0366284,0.946058933,0.02906,
RI,20,0.0222270,0.963692629,0.01763,
RI,21,0.0146338,0.97530229,0.01161,
RI,22,0.0119372,0.984772608,0.00947,
RI,23,0.0061902,0.989683569,0.00491,
RI,24,0.0039197,0.992793218,0.00311,
RI,25,0.0040932,0.996040553,0.00325,
RI,26,0.0020540,0.997670083,0.00163,
RI,27,0.0011981,0.998620607,0.00095,
RI,28,0.0004872,0.99900711,0.00039,
RI,29,0.0008947,0.999716909,0.00071,
RI,30,0.0003556,0.999999053,0.00028,
RI,32,0.0000012,1,0.00000,
VA,4,0.0028048,0.0028048,0.00280,
VA,5,0.0070121,0.00956762,0.00676,
VA,6,0.0210362,0.029855985,0.02029,
VA,7,0.0353214,0.063921641,0.03407,
VA,8,0.0395004,0.102017735,0.03810,
VA,9,0.0523176,0.152475402,0.05046,
VA,10,0.1319308,0.279715829,0.12724,
VA,11,0.2229865,0.494774874,0.21506,
VA,12,0.1079902,0.598925873,0.10415,
VA,13,0.0759138,0.672140816,0.07321,
VA,14,0.0770960,0.746495922,0.07436,
VA,15,0.0664502,0.810583738,0.06409,
VA,16,0.0409726,0.85,0.03942,
VA,17,0.0352624,0.89457303,0.04457,
VA,18,0.0341539,0.937744822,0.04317,
VA,19,0.0219007,0.965428129,0.02768,
VA,20,0.0148146,0.984154317,0.01873,
VA,21,0.0048843,0.990328229,0.00617,
VA,22,0.0051859,0.996883392,0.00656,
VA,23,0.0007867,0.997877783,0.00099,
VA,24,0.0007455,0.998820176,0.00094,
VA,25,0.0004743,0.999419698,0.00060,
VA,26,0.0001260,0.999578938,0.00016,
VA,27,0.0000000,0.999578938,0.00000,
VA,28,0.0000022,0.999581698,0.00000,
VA,29,0.0000000,0.999581698,0.00000,
VA,30,0.0003309,1,0.00042,
VA,32,0.0000000,1,0.00000,
