state,length,prob_star,nfish,tot_cat,q
CT,2,3.20753592575e-08,22715142.5387954,.21148917,9.3104928e-09
CT,3,.0000132571549329,14506510.54905011,87.411171,6.0256511e-06
CT,4,.000653667608276,45703644.80377335,4309.9634,.000094302399
CT,5,.0090150246396661,51495793.86001065,59440.645,.0011542815
CT,6,.0510858446359634,70512519.06622162,336834.97,.0047769528
CT,7,.1516884416341782,49100915.903074,1000159.1,.020369459
CT,8,.2775437235832214,33976675.93866599,1829987,.053860094
CT,9,.1533079892396927,45847163.05323011,1010837.6,.022047987
CT,10,.1422193348407745,25174753.22028688,937724.44,.037248604
CT,11,.1030857339501381,54475415.05123904,679696.69,.012477127
CT,12,.0608709380030632,59056824.84428973,401353.06,.006796049
CT,13,.0303098168224096,60716774.72420296,199848.05,.00329148
CT,14,.0129592446610332,14618629.50333059,85446.898,.005845069
CT,15,.004894707351923,4486116.434263531,32273.297,.0071940389
CT,16,.0023522438332293,471568.6978209764,15509.541,.032889251
DE,5,.0186268705874681,51495793.86001065,41.686935,8.0952117e-07
DE,6,.0511405728757381,70512519.06622162,114.4526,1.6231529e-06
DE,7,.096664696931839,49100915.903074,216.33559,4.4059379e-06
DE,8,.1365106403827667,33976675.93866599,305.5108,8.9917803e-06
DE,9,.1586246490478516,45847163.05323011,355.00195,7.7431605e-06
DE,10,.15590900182724,25174753.22028688,348.92435,.00001386009
DE,11,.1332703828811646,54475415.05123904,298.25912,5.4751144e-06
DE,12,.103009432554245,59056824.84428973,230.53511,3.9036149e-06
DE,13,.0716437101364136,60716774.72420296,160.33862,2.6407631e-06
DE,14,.0466535836458206,14618629.50333059,104.41072,7.1423055e-06
DE,15,.0279464777559042,4486116.434263531,62.544216,.000013941728
MA,2,3.20753592575e-08,22715142.5387954,.21063311,9.2728065e-09
MA,3,.0000105516128315,14506510.54905011,69.290543,4.7765134e-06
MA,4,.000520266010426,45703644.80377335,3416.4932,.000074753189
MA,5,.0071752229705453,51495793.86001065,47118.398,.00091499509
MA,6,.0406601615250111,70512519.06622162,267007.97,.0037866747
MA,7,.1207316070795059,49100915.903074,792822.75,.016146801
MA,8,.220902144908905,33976675.93866599,1450624.6,.042694718
MA,9,.1833683848381042,45847163.05323011,1204147.1,.026264375
MA,10,.1701054871082306,25174753.22028688,1117052.1,.044371918
MA,11,.1232986301183701,54475415.05123904,809679.94,.014863217
MA,12,.0728064179420471,59056824.84428973,478106.66,.008095705
MA,13,.0362529195845127,60716774.72420296,238066.39,.0039209328
MA,14,.0155002735555172,14618629.50333059,101787.51,.0069628623
MA,15,.005854454357177,4486116.434263531,38445.148,.0085698059
MA,16,.0028134682163454,471568.6978209764,18475.539,.039178893
MD,5,.0186268705874681,51495793.86001065,13.597615,2.6405294e-07
MD,6,.0511405728757381,70512519.06622162,37.332619,5.2944665e-07
MD,7,.096664696931839,49100915.903074,70.565231,1.4371469e-06
MD,8,.1365106403827667,33976675.93866599,99.652771,2.9329758e-06
MD,9,.1586246490478516,45847163.05323011,115.79599,2.5256959e-06
MD,10,.15590900182724,25174753.22028688,113.81357,4.5209408e-06
MD,11,.1332703828811646,54475415.05123904,97.287376,1.7858951e-06
MD,12,.103009432554245,59056824.84428973,75.196884,1.2732971e-06
MD,13,.0716437101364136,60716774.72420296,52.299908,8.6137493e-07
MD,14,.0466535836458206,14618629.50333059,34.057117,2.3297066e-06
MD,15,.0279464777559042,4486116.434263531,20.400928,4.5475699e-06
NC,5,.0186268705874681,51495793.86001065,55.154163,1.0710421e-06
NC,6,.0511405728757381,70512519.06622162,151.42723,2.1475225e-06
NC,7,.096664696931839,49100915.903074,286.22418,5.8293044e-06
NC,8,.1365106403827667,33976675.93866599,404.20801,.000011896632
NC,9,.1586246490478516,45847163.05323011,469.68759,.000010244638
NC,10,.15590900182724,25174753.22028688,461.64655,.00001833768
NC,11,.1332703828811646,54475415.05123904,394.61362,7.2438847e-06
NC,12,.103009432554245,59056824.84428973,305.01093,5.1647025e-06
NC,13,.0716437101364136,60716774.72420296,212.13702,3.4938782e-06
NC,14,.0466535836458206,14618629.50333059,138.14127,9.4496727e-06
NC,15,.0279464777559042,4486116.434263531,82.749519,.000018445691
NJ,4,.0201594680547714,45703644.80377335,7215.0938,.00015786692
NJ,5,.0603264085948467,51495793.86001065,21590.883,.0004192747
NJ,6,.1121368110179901,70512519.06622162,40133.875,.00056917378
NJ,7,.1567579358816147,49100915.903074,56103.82,.0011426227
NJ,8,.1705978512763977,33976675.93866599,61057.141,.001797031
NJ,9,.1537981927394867,45847163.05323011,55044.527,.0012006093
NJ,10,.1223912313580513,25174753.22028688,43803.945,.001739995
NJ,11,.0868474617600441,54475415.05123904,31082.793,.00057058386
NJ,12,.056509967893362,59056824.84428973,20224.975,.00034246634
NJ,13,.0327755585312843,60716774.72420296,11730.405,.00019319875
NJ,14,.0181838739663363,14618629.50333059,6508.0269,.00044518721
NJ,15,.00951521191746,4486116.434263531,3405.5039,.00075912074
NY,2,3.20753592575e-08,22715142.5387954,.41666427,1.8343018e-08
NY,3,.0000105516128315,14506510.54905011,137.06721,9.4486686e-06
NY,4,.000520266010426,45703644.80377335,6758.3423,.00014787316
NY,5,.0071752229705453,51495793.86001065,93207.344,.0018099991
NY,6,.0406601615250111,70512519.06622162,528182.31,.0074906177
NY,7,.1207316070795059,49100915.903074,1568323.8,.031940825
NY,8,.220902144908905,33976675.93866599,2869555.8,.084456638
NY,9,.1833683848381042,45847163.05323011,2381986,.051954925
NY,10,.1701054871082306,25174753.22028688,2209698.8,.087774396
