draw,age,year,Na
1,0,2020,115766700
1,1,2020,77598430
1,2,2020,153930300
1,3,2020,43882150
1,4,2020,8746528
1,5,2020,19574460
1,6,2020,10882300
1,7,2020,141128800
2,0,2020,73332360
2,1,2020,76660650
2,2,2020,68089360
2,3,2020,13133150
2,4,2020,28643440
2,5,2020,18964050
2,6,2020,24475130
2,7,2020,156614800
3,0,2020,107421000
3,1,2020,37009300
3,2,2020,72241600
3,3,2020,44023200
3,4,2020,46904100
3,5,2020,97841100
3,6,2020,61040600
3,7,2020,101785000
4,0,2020,105426900
4,1,2020,268433800
4,2,2020,51935340
4,3,2020,47900670
4,4,2020,16219780
4,5,2020,20578910
4,6,2020,11449300
4,7,2020,148049100
5,0,2020,35402070
5,1,2020,92226690
5,2,2020,26298190
5,3,2020,55244460
5,4,2020,27809680
5,5,2020,45190500
5,6,2020,90664820
5,7,2020,135557200
6,0,2020,262118100
6,1,2020,66438690
6,2,2020,157524500
6,3,2020,57322370
6,4,2020,15021280
6,5,2020,27629860
6,6,2020,12582350
6,7,2020,162130200
7,0,2020,107911000
7,1,2020,21818100
7,2,2020,54382800
7,3,2020,29438600
7,4,2020,39010600
7,5,2020,83006600
7,6,2020,38045200
7,7,2020,95523800
8,0,2020,132399200
8,1,2020,100423000
8,2,2020,69552960
8,3,2020,15321750
8,4,2020,28750180
8,5,2020,19565130
8,6,2020,21863660
8,7,2020,162011100
9,0,2020,133261600
9,1,2020,115602600
9,2,2020,75488880
9,3,2020,21576050
9,4,2020,36890330
9,5,2020,21499680
9,6,2020,29551550
9,7,2020,190712500
10,0,2020,196810500
10,1,2020,100324900
10,2,2020,31113370
10,3,2020,57839790
10,4,2020,31621460
10,5,2020,37077820
10,6,2020,82917020
10,7,2020,156155500
11,0,2020,132645500
11,1,2020,88819650
11,2,2020,24469880
11,3,2020,52875140
11,4,2020,26082060
11,5,2020,37515040
11,6,2020,85425200
11,7,2020,128297800
12,0,2020,117494000
12,1,2020,36955200
12,2,2020,75359500
12,3,2020,40040000
12,4,2020,56169600
12,5,2020,113890000
12,6,2020,50332400
12,7,2020,116423000
13,0,2020,110035000
13,1,2020,26739600
13,2,2020,52608900
13,3,2020,29317700
13,4,2020,39911300
13,5,2020,89475800
13,6,2020,43484600
13,7,2020,102447000
14,0,2020,50851740
14,1,2020,205460800
14,2,2020,135804900
14,3,2020,51542820
14,4,2020,10142810
14,5,2020,25438300
14,6,2020,14210510
14,7,2020,156583200
15,0,2020,139562400
15,1,2020,99054980
15,2,2020,23008890
15,3,2020,49878570
15,4,2020,26488730
15,5,2020,44298900
15,6,2020,87719600
15,7,2020,164682300
16,0,2020,225707300
16,1,2020,92225910
16,2,2020,23213010
16,3,2020,41793720
16,4,2020,32253550
16,5,2020,38887710
16,6,2020,70787560
16,7,2020,131059800
17,0,2020,219114500
17,1,2020,35240010
17,2,2020,73906900
17,3,2020,17502940
17,4,2020,31827270
17,5,2020,21789020
17,6,2020,29611390
17,7,2020,191394900
18,0,2020,74377680
18,1,2020,62577150
18,2,2020,59251020
18,3,2020,50691810
18,4,2020,12526810
18,5,2020,22860680
18,6,2020,11929590
18,7,2020,135682100
19,0,2020,72565400
19,1,2020,91977340
19,2,2020,17380600
19,3,2020,41818800
19,4,2020,21812410
19,5,2020,26623400
19,6,2020,77113810
19,7,2020,123565600
20,0,2020,88684130
20,1,2020,88913820
20,2,2020,14933510
20,3,2020,47391000
20,4,2020,24380050
20,5,2020,35901340
20,6,2020,68793560
20,7,2020,120487700
21,0,2020,244825200
21,1,2020,225457500
21,2,2020,22406420
21,3,2020,57184460
21,4,2020,17847640
21,5,2020,31235520
21,6,2020,14454000
21,7,2020,159994100
22,0,2020,91061920
22,1,2020,33342260
22,2,2020,59678400
22,3,2020,44900460
22,4,2020,8359388
22,5,2020,17223540
22,6,2020,11816620
22,7,2020,140679000
23,0,2020,95300660
23,1,2020,93734050
23,2,2020,26632840
23,3,2020,48695020
23,4,2020,23869590
23,5,2020,35319380
23,6,2020,63796080
23,7,2020,115890200
24,0,2020,112882000
24,1,2020,28298300
24,2,2020,67366200
24,3,2020,43397400
24,4,2020,58878700
24,5,2020,114038000
24,6,2020,57376700
24,7,2020,113258000
25,0,2020,129690100
25,1,2020,116193800
25,2,2020,57591200
25,3,2020,8468277
25,4,2020,22982350
25,5,2020,10849110
25,6,2020,12956600
25,7,2020,118592600
26,0,2020,112116500
26,1,2020,91234430
26,2,2020,20967730
26,3,2020,46815990
26,4,2020,20589040
26,5,2020,28602910
26,6,2020,69833230
26,7,2020,123187000
27,0,2020,116352000
27,1,2020,30629500
27,2,2020,61162700
27,3,2020,34498800
27,4,2020,41999400
27,5,2020,101548000
27,6,2020,55161800
27,7,2020,117118000
28,0,2020,147468500
28,1,2020,90259360
28,2,2020,21794320
28,3,2020,31906920
28,4,2020,19440590
28,5,2020,26328440
28,6,2020,56688780
28,7,2020,108674400
29,0,2020,111021000
29,1,2020,23667500
29,2,2020,48544900
29,3,2020,32261500
29,4,2020,35315800
29,5,2020,87429800
29,6,2020,45080000
29,7,2020,108346000
30,0,2020,146244600
30,1,2020,177316500
30,2,2020,65113620
30,3,2020,13140640
30,4,2020,28268790
30,5,2020,16479170
30,6,2020,16605520
30,7,2020,153438100
31,0,2020,39679640
31,1,2020,89708210
31,2,2020,65654910
31,3,2020,14123480
31,4,2020,31284550
31,5,2020,13836870
31,6,2020,19219520
31,7,2020,144561200
32,0,2020,168228100
32,1,2020,109702000
32,2,2020,68323810
32,3,2020,13587100
32,4,2020,29313380
32,5,2020,19343900
32,6,2020,24118700
32,7,2020,155247500
33,0,2020,36742000
33,1,2020,87018550
33,2,2020,19252840
33,3,2020,39682370
33,4,2020,22671290
33,5,2020,30338550
33,6,2020,64232350
33,7,2020,117210700
34,0,2020,35547670
34,1,2020,107862300
34,2,2020,143876400
34,3,2020,40362160
34,4,2020,6753440
34,5,2020,14107640
34,6,2020,8720301
34,7,2020,106121300
35,0,2020,144989700
35,1,2020,214130500
35,2,2020,79069540
35,3,2020,41974090
35,4,2020,7472626
35,5,2020,19053780
35,6,2020,10950890
35,7,2020,112910700
36,0,2020,135567200
36,1,2020,91902700
36,2,2020,22597560
36,3,2020,49781580
36,4,2020,24625250
36,5,2020,36522500
36,6,2020,74991720
36,7,2020,139596800
37,0,2020,134937700
37,1,2020,87198490
37,2,2020,70902590
37,3,2020,46446390
37,4,2020,8956999
37,5,2020,14736990
37,6,2020,7168062
37,7,2020,114418300
38,0,2020,123726500
38,1,2020,212624800
38,2,2020,83993210
38,3,2020,44108810
38,4,2020,7951990
38,5,2020,15977920
38,6,2020,8817533
38,7,2020,113197800
39,0,2020,111647000
39,1,2020,33644100
39,2,2020,73986800
39,3,2020,47206900
39,4,2020,56473600
39,5,2020,114413000
39,6,2020,57843800
39,7,2020,100369000
40,0,2020,295244600
40,1,2020,56275140
40,2,2020,59655260
40,3,2020,50691530
40,4,2020,13173920
40,5,2020,26774490
40,6,2020,14123930
40,7,2020,169018900
41,0,2020,322395500
41,1,2020,177078900
