wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
12973,0,0,27
15538,0,3,0
339,0,27,0
1936,0,0,0
646,0,10,2
7711,0,5,0
17908,0,0,7
15538,0,3,0
5372,0,1,2
4662,0,0,1
27977,0,1,0
27977,0,1,0
2516,0,15,10
1957,0,6,0
27977,0,1,0
7605,0,10,5
7605,0,20,4
3276,0,0,1
41,0,0,22
4662,0,0,1
1469,0,0,0
8420,0,1,1
5372,0,1,2
2828,0,1,0
1957,0,3,2
12973,0,0,27
7711,0,7,0
1957,0,2,3
3224,0,15,7
110,0,13,14
1911,0,0,0
7605,0,20,4
3238,0,2,0
2090,0,2,2
646,0,10,2
45,0,4,5
783,0,7,0
2081,0,0,3
7711,1,2,36
19044,0,0,8
27977,0,1,0
283,0,20,20
2828,1,5,2
1117,0,4,0
13373,0,0,2
6004,0,0,2
4851,0,5,0
12973,0,0,27
19044,0,0,1
3606,0,0,20
8420,0,1,1
8420,0,1,1
3935,0,0,0
19044,0,0,13
19044,0,0,13
3865,0,3,6
2884,0,1,0
12973,0,0,27
1788,0,0,3
17908,0,0,7
15538,0,3,0
2164,0,0,1
7711,0,5,0
2642,0,15,4
1657,0,1,0
8420,0,0,0
1469,0,7,0
2164,0,0,1
1947,0,3,0
1045,2,3,10
1911,0,0,0
1315,0,2,0
19044,0,0,8
8420,0,1,1
309,6,0,0
15538,0,3,0
27977,0,1,0
1469,0,6,0
7711,0,0,1
2828,0,1,0
1957,0,3,2
17908,0,0,7
1469,0,7,0
5725,0,0,2
3935,0,0,0
19044,0,0,1
181,0,4,7
358,0,2,0
493,0,2,0
4662,0,0,1
7711,0,10,39
1782,0,6,5
1315,0,2,0
19044,0,0,13
3606,0,0,20
2145,0,1,0
15538,0,3,0
3238,0,2,0
7711,0,22,17
8420,0,5,0
1395,0,1,0
1957,3,4,9
1782,0,3,1
288,0,26,5
2642,0,5,0
1412,0,0,1
200,0,4,1
6020,0,6,0
2642,0,10,3
5725,0,0,2
349,6,2,0
19044,0,0,1
339,0,15,3
743,0,10,1
2828,1,5,2
368,0,6,6
27977,0,1,0
1395,0,1,0
1117,0,3,0
3528,0,1,0
5979,0,2,0
993,0,13,0
2462,0,15,0
7711,1,2,36
8420,0,1,1
1469,0,7,0
283,0,7,21
12973,0,0,26
1957,3,4,9
3238,1,0,2
7605,0,10,2
9120,0,0,15
9438,0,17,22
3935,0,0,0
45,0,8,12
7711,0,10,39
1371,0,0,0
1957,0,11,8
2642,0,10,3
19044,0,0,8
6004,0,0,2
7605,0,20,4
27977,0,1,0
15538,0,5,0
3528,0,1,0
1410,0,0,0
7711,0,7,0
2333,0,7,0
19044,0,0,8
7711,0,5,0
420,0,0,0
27977,0,1,0
27977,0,1,0
7711,0,5,0
3238,1,0,2
15538,0,3,0
3968,0,3,1
4662,0,0,3
95,0,3,2
8420,0,1,1
2164,0,0,1
1469,0,7,0
3276,0,0,1
2516,0,1,5
12973,0,0,26
1395,0,1,0
1957,3,4,9
9438,0,17,22
7711,0,0,1
1957,3,4,9
7711,0,5,0
1957,0,11,8
7711,0,0,1
405,0,20,5
7711,0,5,0
5725,0,0,2
86,0,4,7
8079,0,0,17
1469,0,6,0
2531,0,1,0
7605,0,10,2
6004,0,0,2
119,0,2,0
19044,0,0,8
1710,0,0,18
4662,0,0,4
327,0,11,9
309,0,1,0
225,0,0,0
3963,0,19,0
8079,0,0,17
7711,0,5,0
3528,0,1,0
3224,0,16,0
12973,0,0,26
8079,0,0,17
339,0,19,0
3968,0,3,1
2435,0,0,1
2828,1,5,2
9438,0,18,23
1395,0,1,0
88,0,20,26
8420,0,2,2
339,0,27,0
12973,0,0,26
12973,0,0,8
1642,0,0,0
9438,0,17,22
1957,0,2,3
3528,0,1,0
7059,0,0,5
743,0,10,1
7711,0,5,0
7605,0,20,4
19044,0,0,1
2828,0,1,0
1239,0,6,0
15538,0,5,0
2531,0,2,0
5372,0,1,2
1473,0,0,3
19044,0,0,8
1315,0,2,0
7605,1,20,5
1957,0,20,0
1810,0,2,0
8420,0,0,0
7711,1,2,36
7605,0,10,5
22,0,0,4
27977,0,1,0
2671,0,0,1
1469,0,0,0
19044,0,0,8
7711,0,10,39
707,0,0,0
7605,0,10,2
327,0,11,9
2516,0,15,10
95,0,4,5
1117,0,3,0
6020,0,6,0
9438,0,18,23
1469,0,7,0
1957,3,4,9
231,0,2,12
7605,1,20,5
12973,0,0,26
309,0,1,0
88,0,16,14
3224,0,16,0
231,0,2,11
1782,0,6,5
2462,0,15,0
13373,0,0,9
345,0,0,0
7059,0,0,5
17908,0,0,7
1657,4,15,0
3606,0,0,20
3238,1,1,0
8420,0,0,0
4662,0,0,3
318,0,0,0
1957,0,11,8
27977,0,1,0
3963,0,19,0
787,0,26,0
7711,0,22,17
17908,0,0,7
7711,0,56,71
7711,0,10,39
2516,0,0,10
1782,1,0,0
1547,0,0,1
7711,0,22,17
70,0,2,0
139,0,2,3
12973,0,0,26
7711,0,6,0
2305,0,0,35
1810,0,2,0
12973,0,0,8
3935,0,0,0
12973,0,0,26
31,0,0,7
7711,0,7,0
9438,0,18,23
4662,0,0,1
1957,0,2,30
2516,0,15,10
19044,0,0,1
1870,1,0,0
7711,0,22,17
2058,0,9,3
8420,0,0,0
7711,0,5,0
1782,1,0,0
8079,0,0,17
7711,0,7,0
1782,0,3,2
4662,0,0,1
1129,0,2,0
13373,0,0,2
420,0,0,0
13373,0,0,2
12973,0,0,27
1957,0,2,3
3468,1,0,0
8420,0,5,0
1957,0,11,8
743,0,10,1
110,0,11,8
19044,0,0,1
1033,0,3,0
19044,0,0,1
19044,0,0,8
1527,0,0,2
1782,0,0,2
327,4,0,0
4054,0,1,0
4054,0,1,0
3963,2,17,0
12973,0,0,8
4662,0,0,1
1052,3,8,8
3528,0,1,0
7711,0,5,0
3494,0,0,40
1371,0,0,0
8420,0,1,1
1371,0,0,6
4851,0,5,0
8420,0,1,1
19044,0,0,8
3276,0,0,1
17908,0,0,7
1010,0,2,0
19044,0,0,13
12973,0,0,27
8420,0,0,1
7605,0,10,2
1239,0,6,0
1788,0,0,3
8079,0,0,17
327,0,11,0
88,0,20,26
1010,0,1,0
17908,0,0,7
4054,0,1,0
1473,0,0,3
15538,0,3,0
13373,0,0,9
13373,0,0,2
3968,0,3,2
242,1,0,0
551,0,6,0
328,0,0,0
5372,0,1,2
1947,0,3,0
1165,0,6,0
7605,0,10,2
7605,1,20,5
1055,0,1,0
7711,0,5,0
8420,0,2,2
6020,0,6,0
12973,0,0,27
13373,0,0,2
3968,0,3,1
7711,0,10,39
19044,0,0,13
3606,0,0,20
1782,0,1,0
1642,2,0,0
2671,0,0,1
242,0,0,0
12973,0,0,26
15538,0,5,0
1705,3,4,1
7711,1,2,36
12973,0,0,27
2642,0,3,0
1073,0,1,0
1410,0,2,2
12973,0,0,26
7711,0,22,17
1410,0,4,0
7711,0,5,0
13373,0,0,2
47,3,0,0
12973,0,0,26
1371,0,0,6
2164,0,0,1
532,0,2,0
4662,0,0,1
743,0,10,1
19044,0,0,8
2058,0,9,1
722,0,0,0
553,0,2,9
1782,8,0,0
1129,0,2,0
1642,0,0,0
12973,0,0,27
7711,0,56,71
87,0,1,28
2531,0,1,0
2333,0,7,0
7405,0,0,3
1657,4,15,0
7405,0,0,3
110,0,8,15
1129,0,1,0
4662,0,0,1
7711,0,5,0
2642,0,3,0
7711,0,10,39
2058,0,9,3
999,0,0,0
15538,0,5,0
80,0,6,15
1065,0,6,15
