wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
538,1,2,0
25076,1,0,0
3858,0,0,2
1489,0,4,4
7530,0,6,0
7652,0,2,0
35198,0,0,0
248,1,0,0
6825,0,0,11
14052,0,0,0
6492,0,0,0
341,0,9,35
14639,0,0,16
4827,0,4,7
944,2,0,0
3310,8,0,0
17517,0,0,0
1015,0,6,0
8326,3,12,13
823,1,3,12
16873,0,0,13
16732,0,0,4
720,0,0,0
33772,0,1,0
1275,0,0,0
972,2,0,0
8326,0,1,2
13742,0,4,0
825,0,0,8
7144,1,0,2
6052,0,14,4
2607,0,40,3
26050,14,7,2
3428,2,0,0
1280,1,0,0
6492,0,0,5
7144,1,0,0
3733,0,0,0
4253,24,0,0
5323,0,0,0
3893,0,1,5
50191,0,1,0
16732,1,0,0
11148,0,2,0
522,0,0,3
1531,0,0,0
8023,0,0,0
6102,0,0,0
1271,0,0,0
1206,12,0,0
1104,3,0,0
2755,1,0,0
1237,18,7,1
29761,0,0,0
1021,0,0,15
882,6,0,0
2491,0,0,0
8990,0,0,0
8023,0,0,0
2339,0,0,0
10463,0,0,0
1332,15,2,0
1373,0,0,28
13175,0,0,1
4076,13,0,0
2532,1,14,12
1351,0,0,0
6102,1,4,0
740,0,1,0
33967,0,0,7
4031,0,0,0
1343,0,0,0
1370,0,0,0
76190,0,2,0
3495,1,0,0
825,0,0,0
8916,0,0,15
7144,0,0,37
5949,0,0,10
3565,0,0,7
1363,8,0,2
283,0,0,4
24277,13,0,0
730,0,0,0
1239,0,0,5
33303,0,0,1
8314,0,0,0
517,0,0,7
2623,0,0,0
865,5,0,2
4704,1,1,1
2920,0,0,0
6930,0,0,0
294,3,1,0
9826,1,0,0
5970,0,0,12
19498,3,0,0
4200,0,1,3
3125,5,0,0
1374,0,5,0
1810,0,4,0
20790,0,0,1
23083,0,0,1
35198,0,0,0
10286,0,0,0
1522,0,0,0
11148,0,1,3
15911,0,0,0
754,0,0,0
14142,0,0,0
3565,0,0,7
5918,0,0,0
5949,0,1,10
1226,0,1,3
21522,0,3,0
1155,4,0,0
59495,0,0,0
1195,2,3,0
1084,5,7,0
1714,0,0,0
24616,0,0,0
789,0,0,0
565,1,0,0
5949,0,0,0
772,0,1,0
5949,3,1,10
6019,0,0,1
728,0,2,2
3940,3,1,3
6825,0,0,0
3837,4,2,0
65803,0,0,3
16873,0,0,17
29761,0,1,0
624,3,17,0
939,1,0,0
5035,0,2,0
4295,0,3,0
25076,0,0,0
260,2,0,0
5997,9,0,0
5570,0,0,0
1315,0,0,0
3103,0,8,0
19898,2,0,6
59495,0,0,2
8338,0,11,0
5799,1,2,15
76190,0,2,0
50191,0,1,0
671,0,0,2
972,0,0,0
4845,4,1,0
26754,1,0,0
1639,6,1,1
16732,0,0,16
5949,0,0,2
4791,2,0,0
18803,0,0,0
2306,2,0,0
589,0,0,5
46642,0,27,2
293,0,1,1
2979,0,0,0
59495,0,0,0
720,0,0,0
1536,1,0,8
4749,0,0,0
2130,0,0,0
15631,0,0,0
325,0,1,0
2965,2,0,0
193,0,6,1
4749,0,0,0
2486,0,9,10
4695,4,0,0
2675,0,0,0
6304,0,4,1
961,3,0,0
425,0,0,2
25076,0,0,0
964,1,0,0
46642,0,27,2
5728,1,0,0
589,1,0,0
729,0,0,0
5949,0,0,0
1999,10,0,0
754,1,0,0
13638,2,0,0
1263,6,0,0
1478,4,0,0
12906,0,0,0
308,12,0,0
794,1,0,8
6492,0,0,0
632,0,0,6
14639,0,4,0
8326,0,0,0
761,3,0,0
949,8,0,0
559,1,3,0
298,0,0,0
5591,0,0,0
671,0,2,13
3436,5,0,0
3023,0,7,8
1292,0,0,0
116,0,13,0
25076,6,0,0
4348,6,0,0
