draw,age,year,Na
1,0,2022,32954080
1,1,2022,37814760
1,2,2022,22661680
1,3,2022,23351150
1,4,2022,10140440
1,5,2022,4396066
1,6,2022,2171235
1,7,2022,4410284
2,0,2022,41068980
2,1,2022,26149190
2,2,2022,28144550
2,3,2022,20747920
2,4,2022,18927960
2,5,2022,7952978
2,6,2022,3680950
2,7,2022,4672401
3,0,2022,36578620
3,1,2022,39224860
3,2,2022,20825850
3,3,2022,25000350
3,4,2022,11568680
3,5,2022,4726550
3,6,2022,2130136
3,7,2022,3880912
4,0,2022,34403780
4,1,2022,26255240
4,2,2022,28485760
4,3,2022,16960940
4,4,2022,15296860
4,5,2022,6375743
4,6,2022,2725471
4,7,2022,3533536
5,0,2022,36614270
5,1,2022,39359780
5,2,2022,28506120
5,3,2022,23048630
5,4,2022,10102000
5,5,2022,5210961
5,6,2022,2570257
5,7,2022,4993967
6,0,2022,57128040
6,1,2022,36325910
6,2,2022,21127780
6,3,2022,21853740
6,4,2022,10077900
6,5,2022,9708954
6,6,2022,4140090
6,7,2022,4741213
7,0,2022,35514890
7,1,2022,27478710
7,2,2022,17140080
7,3,2022,20365710
7,4,2022,10777620
7,5,2022,7469782
7,6,2022,3690532
7,7,2022,4426513
8,0,2022,57807890
8,1,2022,40567840
8,2,2022,27896270
8,3,2022,19777200
8,4,2022,15454090
8,5,2022,6247362
8,6,2022,2577048
8,7,2022,3852359
9,0,2022,36209890
9,1,2022,38920200
9,2,2022,22523530
9,3,2022,20557610
9,4,2022,10151040
9,5,2022,4394152
9,6,2022,2281180
9,7,2022,4081022
10,0,2022,57993350
10,1,2022,25497480
10,2,2022,28783040
10,3,2022,24169810
10,4,2022,17330970
10,5,2022,7508416
10,6,2022,2735151
10,7,2022,4497279
11,0,2022,35100220
11,1,2022,38232180
11,2,2022,26522890
11,3,2022,24636340
11,4,2022,11476230
11,5,2022,4636565
11,6,2022,2384858
11,7,2022,4499421
12,0,2022,39213510
12,1,2022,38828940
12,2,2022,25703640
12,3,2022,23951810
12,4,2022,10843540
12,5,2022,4590155
12,6,2022,2379171
12,7,2022,4437376
13,0,2022,31089470
13,1,2022,38378650
13,2,2022,24099440
13,3,2022,19932070
13,4,2022,10228800
