wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
1282,0,0,0
174,0,6,0
2073,0,3,1
8805,0,0,7
552,0,16,7
1617,0,0,1
172,0,4,3
12973,0,0,26
2091,0,1,1
3368,0,11,3
3878,0,10,8
92,0,0,25
4160,0,0,0
4186,0,2,0
129,0,2,4
368,0,50,5
9033,0,10,6
1782,0,6,5
2606,0,0,5
30175,0,0,0
13655,0,0,0
7254,0,0,0
1437,0,0,9
2142,0,0,0
479,2,5,0
3272,0,2,5
2911,0,0,2
22,0,25,50
125,0,35,15
906,0,5,3
1833,0,3,5
1833,0,3,5
5452,0,1,0
628,0,1,2
30175,0,0,0
2189,0,0,22
7987,0,0,0
13373,0,0,2
19044,0,0,8
11776,0,0,17
3873,0,2,0
8503,0,0,0
355,0,0,2
35240,0,0,2
8503,0,0,0
8402,0,0,11
2098,0,0,12
4718,0,0,4
8503,0,0,3
5022,0,0,5
12973,0,0,26
13655,0,0,0
2370,3,3,0
5107,0,6,0
435,0,6,10
5107,0,6,0
25515,0,0,15
1625,0,0,0
13655,0,0,2
274,0,0,9
245,1,0,0
674,0,16,0
8998,0,0,0
4359,0,2,2
31014,0,1,1
18722,0,0,0
7987,0,0,81
2793,0,0,10
725,0,6,1
31765,0,0,0
1617,0,0,1
11776,0,15,9
8805,0,0,1
191,0,35,0
7048,0,0,1
12589,0,0,0
12213,0,1,3
111730,0,0,0
512,6,0,0
27977,0,1,0
8402,0,0,14
13655,0,0,0
12213,0,1,3
13373,0,0,2
369,0,1,0
26607,0,0,2
254,0,16,150
1699,0,3,0
7048,0,0,1
9672,0,0,1
4718,0,0,0
13655,0,0,0
2833,0,5,1
25515,0,5,5
25515,0,5,5
307,1,2,4
12204,0,0,0
8998,0,0,0
4316,0,5,10
8236,0,1,5
899,0,0,3
254,0,13,3
334,0,0,1
532,0,3,1
710,0,2,0
1159,0,0,3
3878,0,10,8
826,0,2,2
6629,0,0,1
1395,0,1,0
4195,0,0,2
2058,0,9,1
5024,0,2,0
8420,0,0,1
2370,3,0,0
4152,0,0,3
2606,0,1,3
3238,0,2,0
133,0,4,12
687,0,0,3
31765,0,0,0
2660,0,0,10
12450,0,0,2
25515,0,7,7
8503,0,0,39
756,0,8,0
568,9,7,2
5107,0,6,0
1738,0,2,0
2833,0,6,2
2161,0,0,0
8503,0,0,19
2312,0,5,2
25515,0,7,7
31765,0,0,0
174,1,0,0
2896,0,0,5
126,0,2,0
7405,0,0,3
3399,0,2,14
1957,0,0,1
2370,0,0,8
8503,0,0,10
1736,2,6,6
3692,0,3,2
1957,0,2,5
17908,0,0,7
4480,0,0,0
8670,0,0,1
7048,0,0,1
1444,0,0,5
9672,0,0,0
297,0,12,0
595,0,0,1
25,0,50,64
19462,0,0,0
11784,0,1,0
242,1,0,0
997,0,55,0
464,0,2,1
459,10,0,0
111730,0,0,0
8503,0,0,1
5538,0,3,0
2642,0,15,4
2450,0,0,10
9672,0,0,1
9672,0,0,0
19044,0,0,8
9438,0,18,23
758,0,10,0
10939,0,0,10
1170,0,0,0
24316,0,0,1
8420,0,0,0
35240,0,0,2
2833,0,5,1
84,0,0,49
3276,0,0,1
13793,0,1,0
532,0,3,1
2161,0,0,0
111730,0,0,0
3873,0,0,4
997,0,55,0
11007,0,0,1
7520,0,0,2
2606,0,0,3
413,4,20,10
3980,0,1,2
19462,0,0,0
111730,0,0,0
26607,0,0,2
12973,0,0,8
8805,0,0,7
14356,0,0,3
8503,0,0,21
1861,0,0,1
26607,0,0,3
7711,0,6,0
405,0,20,5
19462,0,0,1
3238,0,2,0
4316,0,5,8
3494,0,0,40
19462,0,0,0
7059,0,0,5
26607,0,0,3
5482,0,2,3
6629,0,0,2
111730,0,0,0
3880,0,0,0
3276,0,0,1
5538,0,0,0
174,0,0,2
1957,1,3,4
2237,0,0,3
8178,0,0,1
3272,0,4,6
1309,0,4,0
19044,0,0,13
1093,0,2,0
2609,3,0,0
997,0,0,12
725,0,6,1
17608,0,0,0
11776,0,0,17
167,0,8,0
11776,0,0,17
828,0,1,0
3968,0,0,3
7319,0,2,0
1652,24,8,0
11784,0,1,0
11784,0,1,0
11776,0,7,16
192,0,0,1
161,0,3,1
7711,0,0,1
2660,0,0,6
4662,0,0,3
35240,0,0,2
13655,0,0,0
4577,0,0,2
8420,0,0,0
283,0,7,21
969,0,12,10
111730,0,0,0
121,0,10,9
8503,0,0,16
1129,0,2,0
4316,0,5,10
802,0,1,0
26607,0,0,2
338,0,0,2
2161,0,0,0
5372,0,1,2
5482,0,3,2
1652,0,40,0
8998,0,0,2
4152,0,0,3
11007,0,0,1
25042,0,0,2
2109,0,0,0
32218,0,0,2
133,0,2,14
256,0,3,6
26607,0,0,3
6455,0,1,5
8420,0,0,0
1122,0,1,0
10939,0,0,17
19044,0,0,8
424,0,1,0
31014,0,1,1
3368,0,30,10
48,0,10,41
212,1,0,0
223,5,6,5
674,0,7,2
4316,0,1,2
4851,0,5,0
551,3,7,0
19462,0,0,1
12973,0,0,8
25515,0,7,7
