state,length,fitted_prob,observed_prob,prob_star
CT,1,0,.0004669927002396,0
CT,2,6.97248253800e-07,.000077832111856,7.89863975115e-07
CT,3,.0000284564430331,.0004669927002396,.0000322363230225
CT,4,.0004022686625831,.003200996434316,.0004557021311484
CT,5,.0025175891350955,.0081911748275161,.0028520012274384
CT,6,.0094453608617187,.0144767733290792,.0106999911367893
CT,7,.024410443380475,.0214448180049658,.0276528913527727
CT,8,.0477771461009979,.040709737688303,.0541234016418457
CT,9,.0759658440947533,.0527928061783314,.0860564112663269
CT,10,.101749911904335,.0786967054009438,.1152653843164444
CT,11,.1187751963734627,.0996552556753159,.1345521509647369
CT,12,.1237304955720901,.1527787297964096,.1401656568050385
CT,13,.1170120239257813,.1269789934158325,.1325547695159912
CT,14,.1020352616906166,.1432514041662216,.1155886426568031
CT,15,.0828713551163673,.0804094970226288,.0540173165500164
CT,16,.0632996782660484,.062113456428051,.0412600822746754
CT,17,.0457545630633831,.0442992150783539,.0298238005489111
CT,18,.0315192826092243,.0325050614774227,.0205449406057596
CT,19,.0208623204380274,.0190771836787462,.0135985054075718
CT,20,.0132217006757855,.0114838061854243,.0086181862279773
CT,21,.0080960541963577,.0035235544200987,.0052771810442209
CT,22,.0048404717817903,.0019492278806865,.0031551227439195
CT,23,.0027887751348317,.0009680056828074,.0018177831079811
CT,24,.0015728613361716,.0002507090102881,.0010252245701849
CT,25,.0008597070700489,5.38570884601e-06,.0005603753961623
CT,26,.0004625370493159,.0001867661922006,.0003014915273525
DE,3,.002570680109784,.0001971048041014,.0025697438977659
DE,4,.0135374525561929,.0121547942981124,.0116149876266718
DE,5,.0395411215722561,.0645890533924103,.0339258499443531
DE,6,.0775782838463783,.0921251550316811,.0665613189339638
DE,7,.1154058575630188,.0820204764604568,.099016971886158
DE,8,.1393687129020691,.0818658769130707,.1195768415927887
DE,9,.143573209643364,.1244094148278236,.1231842562556267
DE,10,.1307995319366455,.1680210828781128,.1122245788574219
DE,11,.10727658867836,.1809719204902649,.0920421481132507
DE,12,.0808653607964516,.0906274765729904,.0693816021084785
DE,13,.0568504445254803,.0327986478805542,.1026471704244614
DE,14,.0375637076795101,.0235804785043001,.0678237155079842
DE,15,.0234937220811844,.0232532862573862,.0424194410443306
DE,16,.014013672247529,.0059760548174381,.0253025945276022
DE,17,.0081379376351833,.0073968288488686,.0146935740485787
DE,18,.0045142662711442,.0011004788102582,.0081508010625839
DE,19,.0024279158096761,.000760949740652,.004383759573102
DE,20,.001283128047362,.0073607182130218,.0023167710751295
DE,21,.0006558496970683,.000625497661531,.0011841792147607
DE,22,.0003122567140963,1.31228307509e-06,.0005637997528538
DE,23,.0001522574020782,1.41719885960e-06,.0002749106206466
DE,24,.0000780641785241,.0001619449903956,.0001409499382135
MA,1,0,.0004669927002396,0
MA,2,6.97248253800e-07,.000077832111856,4.91256855639e-07
MA,3,.0000284564430331,.0004669927002396,.0000200494196179
MA,4,.0004022686625831,.003200996434316,.0002834245096892
MA,5,.0025175891350955,.0081911748275161,.0017738057067618
MA,6,.0094453608617187,.0144767733290792,.006654872559011
MA,7,.024410443380475,.0214448180049658,.0171987488865852
MA,8,.0477771461009979,.040709737688303,.0336621142923832
MA,9,.0759658440947533,.0527928061783314,.0535228885710239
MA,10,.101749911904335,.0786967054009438,.0716894492506981
MA,11,.1187751963734627,.0996552556753159,.0836848691105843
MA,12,.1237304955720901,.1527787297964096,.0871762037277222
MA,13,.1170120239257813,.1269789934158325,.0824425965547562
MA,14,.1020352616906166,.1432514041662216,.0718904957175255
MA,15,.0828713551163673,.0804094970226288,.1470471322536469
MA,16,.0632996782660484,.062113456428051,.112319104373455
MA,17,.0457545630633831,.0442992150783539,.0811870098114014
MA,18,.0315192826092243,.0325050614774227,.0559278950095177
MA,19,.0208623204380274,.0190771836787462,.0370181538164616
MA,20,.0132217006757855,.0114838061854243,.0234606191515923
MA,21,.0080960541963577,.0035235544200987,.0143656590953469
MA,22,.0048404717817903,.0019492278806865,.0085889454931021
MA,23,.0027887751348317,.0009680056828074,.0049484097398818
MA,24,.0015728613361716,.0002507090102881,.0027908890042454
MA,25,.0008597070700489,5.38570884601e-06,.0015254663303494
MA,26,.0004625370493159,.0001867661922006,.0008207269129343
MD,3,.002570680109784,.0001971048041014,.0025713599752635
MD,4,.0135374525561929,.0121547942981124,.0149338487535715
MD,5,.0395411215722561,.0645890533924103,.0436198115348816
MD,6,.0775782838463783,.0921251550316811,.0855805277824402
MD,7,.1154058575630188,.0820204764604568,.127310037612915
MD,8,.1393687129020691,.0818658769130707,.1537446826696396
MD,9,.143573209643364,.1244094148278236,.1583828628063202
MD,10,.1307995319366455,.1680210828781128,.1442915797233582
MD,11,.10727658867836,.1809719204902649,.1183422356843948
MD,12,.0808653607964516,.0906274765729904,.0892066732048988
MD,13,.0568504445254803,.0327986478805542,.0235856473445892
MD,14,.0375637076795101,.0235804785043001,.0155841233208776
MD,15,.0234937220811844,.0232532862573862,.0097468830645084
MD,16,.014013672247529,.0059760548174381,.0058138775639236
MD,17,.0081379376351833,.0073968288488686,.0033762010280043
MD,18,.0045142662711442,.0011004788102582,.0018728418508545
MD,19,.0024279158096761,.000760949740652,.0010072739096358
MD,20,.001283128047362,.0073607182130218,.0005323336808942
MD,21,.0006558496970683,.000625497661531,.0002720935444813
MD,22,.0003122567140963,1.31228307509e-06,.0001295465044677
MD,23,.0001522574020782,1.41719885960e-06,.0000631673028693
MD,24,.0000780641785241,.0001619449903956,.0000323866261169
NC,3,.002570680109784,.0001971048041014,.0025715855881572
