draw,age,year,Na
1,0,2023,33740260
1,1,2023,35837050
1,2,2023,26944250
1,3,2023,23103990
1,4,2023,10914860
1,5,2023,4221056
1,6,2023,2182248
1,7,2023,4151872
2,0,2023,51179700
2,1,2023,47220600
2,2,2023,38570500
2,3,2023,17963100
2,4,2023,7991380
2,5,2023,4100310
2,6,2023,3661740
2,7,2023,4157840
3,0,2023,42591570
3,1,2023,37290970
3,2,2023,20363960
3,3,2023,23221270
3,4,2023,8574973
3,5,2023,3905289
3,6,2023,1812449
3,7,2023,3446798
4,0,2023,47426600
4,1,2023,33214390
4,2,2023,27995740
4,3,2023,17320730
4,4,2023,14434350
4,5,2023,8296586
4,6,2023,3499781
4,7,2023,4224174
5,0,2023,30538130
5,1,2023,36976130
5,2,2023,23167850
5,3,2023,20585330
5,4,2023,11099620
5,5,2023,9587560
5,6,2023,4174386
5,7,2023,5445470
6,0,2023,46326610
6,1,2023,36592040
6,2,2023,24154250
6,3,2023,26299620
6,4,2023,13099730
6,5,2023,5000713
6,6,2023,2395323
6,7,2023,4795004
7,0,2023,33386320
7,1,2023,29170450
7,2,2023,28787770
7,3,2023,19652270
7,4,2023,16977970
7,5,2023,8201478
7,6,2023,3485311
7,7,2023,4941192
8,0,2023,35050470
8,1,2023,25984670
8,2,2023,27772170
8,3,2023,19916080
8,4,2023,9451068
8,5,2023,9087168
8,6,2023,3896422
8,7,2023,4428760
9,0,2023,33899490
9,1,2023,26983300
9,2,2023,28212860
9,3,2023,14518250
9,4,2023,14767770
9,5,2023,6489368
9,6,2023,2893725
9,7,2023,3831385
10,0,2023,37368750
10,1,2023,22633290
10,2,2023,30038070
10,3,2023,27531040
10,4,2023,14717690
10,5,2023,7593258
10,6,2023,3077420
10,7,2023,4534771
11,0,2023,49448200
11,1,2023,34871900
11,2,2023,34019500
11,3,2023,19122900
11,4,2023,8097110
11,5,2023,4108630
11,6,2023,3411590
11,7,2023,3952780
12,0,2023,30856130
12,1,2023,38331760
12,2,2023,25583670
12,3,2023,23163230
12,4,2023,10937470
12,5,2023,4658314
