draw,age,Year,Na
32,5,2021,4438470
32,6,2021,3823060
32,7,2021,5557910
33,0,2021,51179700
33,1,2021,47220600
33,2,2021,38570500
33,3,2021,17963100
33,4,2021,7991380
33,5,2021,4100310
33,6,2021,3661740
33,7,2021,4157840
34,0,2021,50325200
34,1,2021,38707000
34,2,2021,33009300
34,3,2021,16634100
34,4,2021,7842500
34,5,2021,4065730
34,6,2021,3054500
34,7,2021,4087010
35,0,2021,50030100
35,1,2021,37134800
35,2,2021,32888700
35,3,2021,16396400
35,4,2021,7744230
35,5,2021,3510110
35,6,2021,2932250
35,7,2021,3232880
36,0,2021,48656950
36,1,2021,40110750
36,2,2021,36497840
36,3,2021,21281420
36,4,2021,11107840
36,5,2021,4778196
36,6,2021,2256440
36,7,2021,4139907
37,0,2021,47697080
37,1,2021,39351480
37,2,2021,27951960
37,3,2021,25627550
37,4,2021,12627180
37,5,2021,5578824
37,6,2021,2331811
37,7,2021,5313694
38,0,2021,49415100
38,1,2021,37271930
38,2,2021,20599060
38,3,2021,21222820
38,4,2021,9739062
38,5,2021,4649258
38,6,2021,2379558
38,7,2021,4575549
39,0,2021,49608400
39,1,2021,40367500
39,2,2021,30971400
39,3,2021,16167900
39,4,2021,8105800
39,5,2021,3752160
39,6,2021,3122570
39,7,2021,3624380
40,0,2021,50025800
40,1,2021,35453900
40,2,2021,34806200
40,3,2021,17726400
40,4,2021,7205260
40,5,2021,3788910
40,6,2021,3109000
40,7,2021,3620630
41,0,2021,32652600
41,1,2021,37014280
41,2,2021,35296110
41,3,2021,25329380
41,4,2021,10324060
41,5,2021,5540612
41,6,2021,2732894
41,7,2021,4668899
42,0,2021,59025960
42,1,2021,38701730
42,2,2021,28235310
42,3,2021,22619830
42,4,2021,11098520
42,5,2021,4736489
42,6,2021,2521460
42,7,2021,4165909
43,0,2021,32263730
43,1,2021,36799100
43,2,2021,25573790
43,3,2021,24101030
43,4,2021,12001440
43,5,2021,4797798
43,6,2021,2282387
43,7,2021,4501678
44,0,2021,39662910
44,1,2021,37822370
44,2,2021,28730260
44,3,2021,23173490
44,4,2021,11271940
