draw,age,year,Na
1,0,2018,50236500
1,1,2018,35161600
1,2,2018,20601100
1,3,2018,10865400
1,4,2018,9777250
1,5,2018,3956330
1,6,2018,2082270
1,7,2018,3150010
2,0,2018,49904800
2,1,2018,30466500
2,2,2018,21806400
2,3,2018,12706200
2,4,2018,11078800
2,5,2018,4604460
2,6,2018,2067020
2,7,2018,3136240
3,0,2018,48996700
3,1,2018,29643200
3,2,2018,18521600
3,3,2018,11155200
3,4,2018,9141260
3,5,2018,3791550
3,6,2018,1927990
3,7,2018,3359430
4,0,2018,49695900
4,1,2018,33212400
4,2,2018,20295000
4,3,2018,11455200
4,4,2018,9844930
4,5,2018,4495510
4,6,2018,2168300
4,7,2018,3472240
5,0,2018,49008800
5,1,2018,30080200
5,2,2018,18598200
5,3,2018,9902110
5,4,2018,9752580
5,5,2018,4252400
5,6,2018,2116040
5,7,2018,2972730
6,0,2018,49625900
6,1,2018,31029800
6,2,2018,21901500
6,3,2018,11752200
6,4,2018,10599900
6,5,2018,4622030
6,6,2018,2590040
6,7,2018,3388560
7,0,2018,49971900
7,1,2018,28710200
7,2,2018,22246800
7,3,2018,12206400
7,4,2018,10455800
7,5,2018,4756860
7,6,2018,2452580
7,7,2018,3818850
8,0,2018,50524000
8,1,2018,35257000
8,2,2018,22557700
8,3,2018,11827200
8,4,2018,10489300
8,5,2018,4634990
8,6,2018,2299310
8,7,2018,3440330
9,0,2018,48954200
9,1,2018,27708600
9,2,2018,19295400
9,3,2018,10394500
9,4,2018,8963890
9,5,2018,4247670
9,6,2018,2261150
9,7,2018,3379450
10,0,2018,49340400
10,1,2018,24248600
10,2,2018,19129500
10,3,2018,11809100
10,4,2018,10146900
10,5,2018,4331850
10,6,2018,2040330
10,7,2018,2968330
11,0,2018,49996800
11,1,2018,29434300
11,2,2018,18953700
11,3,2018,11529200
11,4,2018,9813770
11,5,2018,4523260
11,6,2018,2350320
11,7,2018,3816340
12,0,2018,49445400
12,1,2018,36278800
12,2,2018,21553500
12,3,2018,11246700
12,4,2018,10330800
12,5,2018,4587820
12,6,2018,2179180
12,7,2018,3342030
13,0,2018,50896900
13,1,2018,34212700
13,2,2018,21346800
13,3,2018,12043800
13,4,2018,10468600
13,5,2018,4649010
13,6,2018,2251650
13,7,2018,3659980
14,0,2018,50106300
14,1,2018,31780200
14,2,2018,20139400
14,3,2018,11026100
14,4,2018,10212900
14,5,2018,5212510
14,6,2018,2368500
14,7,2018,3840880
15,0,2018,49386100
15,1,2018,29579200
15,2,2018,17853800
15,3,2018,10901500
15,4,2018,9313080
15,5,2018,4419160
15,6,2018,2148950
15,7,2018,3171400
16,0,2018,51320600
16,1,2018,35840400
16,2,2018,22760500
16,3,2018,12838100
16,4,2018,10961800
16,5,2018,4929880
16,6,2018,2418400
16,7,2018,4013850
17,0,2018,50117700
17,1,2018,28682100
17,2,2018,19202800
17,3,2018,11043000
17,4,2018,9546820
17,5,2018,4030520
17,6,2018,1969710
17,7,2018,3387060
18,0,2018,50709600
18,1,2018,33070200
18,2,2018,22987300
18,3,2018,11606300
18,4,2018,11145800
18,5,2018,4722330
18,6,2018,2396860
18,7,2018,3415080
19,0,2018,51933100
19,1,2018,36178000
19,2,2018,22329000
19,3,2018,13576700
19,4,2018,11558900
19,5,2018,4961530
19,6,2018,2292610
19,7,2018,3884910
20,0,2018,49675700
20,1,2018,30957100
20,2,2018,20575000
20,3,2018,11799100
20,4,2018,9872510
20,5,2018,4057410
20,6,2018,2172570
20,7,2018,2956330
21,0,2018,50743700
21,1,2018,36646200
21,2,2018,20534000
21,3,2018,12101900
21,4,2018,10592100
21,5,2018,4578450
21,6,2018,2253200
21,7,2018,3180180
22,0,2018,51621200
22,1,2018,42941300
22,2,2018,21884000
22,3,2018,12610200
22,4,2018,10547300
22,5,2018,5098120
22,6,2018,2449800
22,7,2018,3856560
23,0,2018,49921200
23,1,2018,32336200
23,2,2018,20331500
23,3,2018,10565700
23,4,2018,9270950
23,5,2018,4606850
23,6,2018,2270600
23,7,2018,3402630
24,0,2018,51025100
24,1,2018,38521600
24,2,2018,23254100
24,3,2018,12509800
24,4,2018,12252300
24,5,2018,5185100
24,6,2018,2726660
24,7,2018,4971180
25,0,2018,50107500
25,1,2018,39182800
25,2,2018,18587200
25,3,2018,11557500
25,4,2018,9160230
25,5,2018,4199740
25,6,2018,2140560
25,7,2018,3253610
26,0,2018,49380000
26,1,2018,24595100
26,2,2018,17872600
26,3,2018,10974900
26,4,2018,9865060
26,5,2018,4183260
26,6,2018,2048580
26,7,2018,2946480
27,0,2018,49723900
27,1,2018,28942000
27,2,2018,18492100
27,3,2018,11088000
27,4,2018,9294320
27,5,2018,4227150
27,6,2018,2029940
27,7,2018,3580060
28,0,2018,50276500
28,1,2018,35687200
28,2,2018,24333800
28,3,2018,13511900
28,4,2018,10695500
28,5,2018,5287770
28,6,2018,2358620
28,7,2018,3887030
29,0,2018,49520600
29,1,2018,31037400
29,2,2018,20069100
29,3,2018,12861600
29,4,2018,10894300
29,5,2018,5038130
29,6,2018,2638450
