dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
1879,NJ,5,0,100,100,0,100,100,0,100,100,0,100,30,9
19682,NJ,8,0,100,100,0,100,100,0,100,100,0,100,30,9
21219,NJ,9,0,100,100,2,17,18,1,18,100,0,100,30,9
279228,NJ,10,0,100,100,2,17,18,1,18,100,8,13,30,9
299792,NJ,11,0,100,100,2,17,18,1,18,100,8,13,30,9
665262,NJ,12,0,100,100,2,17,18,1,18,100,8,13,30,9
572385,NJ,13,0,100,100,2,17,18,1,18,100,2,13,30,9
833641,NJ,14,0,100,100,2,17,18,1,18,100,2,13,30,9
679393,NJ,15,0,100,100,2,17,18,1,18,100,2,13,30,9
389253,NJ,16,0,100,100,2,17,18,1,18,100,2,13,30,9
542235,NJ,17,0,100,100,2,17,18,1,18,100,0,100,30,9
216447,NJ,18,0,100,100,2,17,18,1,18,100,0,100,30,9
176526,NJ,19,0,100,100,0,100,100,0,100,100,8,13,30,9
94798,NJ,20,0,100,100,0,100,100,0,100,100,8,13,30,9
168935,NJ,21,0,100,100,0,100,100,0,100,100,10,13,30,9
17369,NJ,22,0,100,100,0,100,100,0,100,100,10,13,30,9
2631,NJ,23,0,100,100,0,100,100,0,100,100,10,13,30,9
5644,NJ,24,0,100,100,0,100,100,0,100,100,10,13,30,9
