draw,age,year,Na
1,0,2019,113841000
1,1,2019,61969800
1,2,2019,59719500
1,3,2019,57067200
1,4,2019,114647000
1,5,2019,65147200
1,6,2019,21313600
1,7,2019,99751700
2,0,2019,119851000
2,1,2019,58407600
2,2,2019,46049000
2,3,2019,49230900
2,4,2019,126149000
2,5,2019,66701600.00000001
2,6,2019,24747900
2,7,2019,133025000
3,0,2019,113850000
3,1,2019,50838000
3,2,2019,37668000
3,3,2019,40255800
3,4,2019,98639300
3,5,2019,57078100
3,6,2019,20635600
3,7,2019,125269000
4,0,2019,109053000
4,1,2019,44521700
4,2,2019,42442000
4,3,2019,40706800
4,4,2019,85207300
4,5,2019,39790000
4,6,2019,15062500
4,7,2019,91387400
5,0,2019,106727000
5,1,2019,55044300
5,2,2019,43510200
5,3,2019,42322400
5,4,2019,101111000
5,5,2019,57492800
5,6,2019,18064500
5,7,2019,105955000
6,0,2019,127566000
6,1,2019,92846500
6,2,2019,66845600.00000001
6,3,2019,71763600
6,4,2019,140260000
6,5,2019,85069200
6,6,2019,26823600
6,7,2019,149480000
7,0,2019,117882000
7,1,2019,100491000
7,2,2019,45758400
7,3,2019,52102000
7,4,2019,121128000
7,5,2019,57242800
7,6,2019,20937100
7,7,2019,131256000
8,0,2019,118673000
8,1,2019,66847399.99999999
8,2,2019,39946100
8,3,2019,57072000
8,4,2019,120124000
8,5,2019,59290200
8,6,2019,24871100
8,7,2019,127963000
9,0,2019,117137000
9,1,2019,67538800
9,2,2019,57563700
9,3,2019,45206700
9,4,2019,113906000
9,5,2019,60282600
9,6,2019,18481600
9,7,2019,126748000
10,0,2019,113594000
10,1,2019,67595700
10,2,2019,43847200
10,3,2019,50243900
10,4,2019,107380000
10,5,2019,52707600
10,6,2019,20459500
10,7,2019,111249000
11,0,2019,121400000
11,1,2019,65750399.99999999
11,2,2019,51842300
11,3,2019,48913000
11,4,2019,126214000
11,5,2019,59684900
11,6,2019,18195200
11,7,2019,127240000
12,0,2019,111751000
12,1,2019,58795000
12,2,2019,48129800
12,3,2019,45948300
12,4,2019,119241000
12,5,2019,64948300
12,6,2019,21855500
12,7,2019,117106000
13,0,2019,115652000
13,1,2019,68458200
13,2,2019,43380400
13,3,2019,45529100
13,4,2019,140389000
13,5,2019,61340100
13,6,2019,19580800
13,7,2019,118853000
14,0,2019,116512000
14,1,2019,42292300
14,2,2019,39567500
14,3,2019,55073600
14,4,2019,103200000
14,5,2019,69343000
14,6,2019,21071000
14,7,2019,123896000
15,0,2019,111789000
15,1,2019,69215700
15,2,2019,40926300
15,3,2019,49934500
15,4,2019,116573000
15,5,2019,60282200
15,6,2019,19061300
15,7,2019,109750000
16,0,2019,115756000
16,1,2019,62676000
16,2,2019,42964500
16,3,2019,37737700
16,4,2019,100383000
16,5,2019,63285000
16,6,2019,20285300
16,7,2019,126968000
17,0,2019,121831000
17,1,2019,95504000
17,2,2019,44313400
17,3,2019,56320200
17,4,2019,113714000
17,5,2019,67577100
17,6,2019,28767900
17,7,2019,136314000
18,0,2019,118950000
18,1,2019,80645900
18,2,2019,44644500
18,3,2019,42663900
18,4,2019,109597000
18,5,2019,61569300
18,6,2019,21295700
18,7,2019,134920000
19,0,2019,123366000
19,1,2019,88357000
19,2,2019,51454000
19,3,2019,41014800
19,4,2019,106081000
19,5,2019,62878300
19,6,2019,25505000
19,7,2019,140117000
20,0,2019,110699000
20,1,2019,55476900
20,2,2019,40612600
20,3,2019,34005800
20,4,2019,82595000
20,5,2019,44802300
20,6,2019,18417200
20,7,2019,116263000
21,0,2019,114523000
21,1,2019,76407000
21,2,2019,52006000
21,3,2019,53503500
21,4,2019,123111000
21,5,2019,64191100
21,6,2019,17610500
21,7,2019,109427000
22,0,2019,122301000
22,1,2019,58046900
22,2,2019,40771600
22,3,2019,54601500
22,4,2019,122919000
22,5,2019,67553400
22,6,2019,23550500
22,7,2019,145183000
23,0,2019,114953000
23,1,2019,91963500
23,2,2019,61808900
23,3,2019,55013800
23,4,2019,111277000
23,5,2019,51176200
23,6,2019,17041800
23,7,2019,114501000
24,0,2019,113201000
24,1,2019,50811100
24,2,2019,43010800
24,3,2019,56995900
24,4,2019,107142000
24,5,2019,61725000
24,6,2019,19623900
24,7,2019,118866000
25,0,2019,116837000
25,1,2019,58648900
25,2,2019,53568200
25,3,2019,42169100
25,4,2019,129123000
25,5,2019,62802200
25,6,2019,19049500
25,7,2019,116311000
26,0,2019,117709000
26,1,2019,52744400
26,2,2019,42327900
26,3,2019,47460000
26,4,2019,123620000
26,5,2019,64613400
26,6,2019,22536700
26,7,2019,124177000
27,0,2019,113404000
27,1,2019,51634300
27,2,2019,32058500
27,3,2019,37674100
27,4,2019,97494400
27,5,2019,58806600
27,6,2019,17886600
27,7,2019,109690000
28,0,2019,122907000
28,1,2019,58431800
28,2,2019,38030900
28,3,2019,52129900
28,4,2019,117756000
28,5,2019,67837300
28,6,2019,25622600
28,7,2019,154387000
29,0,2019,110292000
29,1,2019,65216800
29,2,2019,44486200
29,3,2019,40718800
29,4,2019,83204700
29,5,2019,43288600
29,6,2019,14951400
29,7,2019,99780400
30,0,2019,118398000
30,1,2019,63952700
30,2,2019,43931200
30,3,2019,42473100
30,4,2019,131643000
30,5,2019,55762300
30,6,2019,21750800
30,7,2019,139631000
31,0,2019,114965000
31,1,2019,58632900
31,2,2019,42958700
31,3,2019,52437900
31,4,2019,109214000
31,5,2019,56652700
31,6,2019,18416600
31,7,2019,115744000
32,0,2019,119318000
32,1,2019,64420300
32,2,2019,46981700
32,3,2019,54051200
32,4,2019,121591000
32,5,2019,64071600
32,6,2019,24957800
32,7,2019,138288000
33,0,2019,116322000
33,1,2019,60709500
33,2,2019,35911600
33,3,2019,50444900
33,4,2019,111997000
33,5,2019,62650400
33,6,2019,20951900
33,7,2019,123419000
34,0,2019,113539000
34,1,2019,68810900
34,2,2019,41505100
34,3,2019,46428400
34,4,2019,106111000
34,5,2019,53617400
34,6,2019,17730400
34,7,2019,115979000
