wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
11073,0,1,0
26050,0,0,2
26050,0,0,2
20250,1,0,0
1030,0,1,0
360,0,8,0
3150,0,0,4
6391,0,0,25
2428,0,0,0
3125,0,0,0
5970,0,0,12
3273,0,0,0
616,0,0,0
8706,0,0,6
21522,0,3,0
21522,0,3,0
26050,1,0,0
602,0,2,0
9234,0,0,0
699,0,30,12
263,0,1,0
19498,3,0,0
6324,0,0,2
639,2,0,0
3515,0,16,0
344,0,2,4
34924,1,3,0
941,0,0,1
13742,0,0,1
248,1,0,0
10286,0,0,0
2692,0,0,0
8314,0,0,0
60,0,4,1
2095,0,1,1
1830,0,0,0
17295,3,0,0
26050,1,0,0
13742,0,4,0
305,0,0,2
440,7,5,0
7530,0,0,0
316,0,1,2
3122,0,0,0
10286,1,0,0
17295,3,0,0
4848,0,0,7
16301,0,1,0
1673,0,0,10
26050,0,0,3
9238,0,20,0
130,0,3,0
13742,0,0,3
10286,0,0,0
26050,0,0,3
23083,0,0,0
23083,0,0,1
3005,0,0,0
2275,0,4,0
679,0,0,0
1712,0,2,9
3206,0,0,0
10286,0,0,2
232,1,1,0
26050,2,1,0
93,1,12,0
5970,0,0,12
26050,2,1,0
26050,2,0,0
473,0,4,2
568,3,0,0
1339,0,15,0
3206,0,0,0
16906,0,0,0
16666,1,0,2
1061,0,5,0
23083,0,0,0
26754,1,0,0
6324,1,0,0
4749,0,0,0
23869,0,0,0
3273,0,0,0
5358,1,0,0
1649,0,0,0
3270,0,0,15
34924,1,3,0
16906,0,0,0
26050,2,1,0
3613,1,0,0
26050,0,0,2
20250,1,0,0
10286,0,0,0
1522,0,24,2
6324,0,0,0
26050,0,0,0
794,0,0,0
13742,0,0,1
1279,0,0,0
2431,4,0,0
2558,0,0,10
26754,1,0,0
10286,0,0,4
3150,0,0,6
3270,0,0,19
16301,0,1,0
32,0,5,0
8117,15,1,68
1195,9,0,0
37603,0,0,0
3377,0,0,0
373,0,2,1
21522,0,3,0
37603,0,0,0
4308,0,1,35
344,1,0,5
554,0,0,7
4295,0,6,0
1195,5,0,0
12912,0,0,0
12906,0,0,0
4209,0,0,0
588,0,0,0
26754,0,0,0
1920,0,0,0
4827,0,2,0
637,1,0,0
8117,0,0,0
11073,3,0,0
2335,0,4,0
254,2,8,4
2428,0,0,0
2431,4,0,0
3150,0,0,0
12277,0,0,0
5303,0,0,0
226,7,0,0
1649,0,0,0
2334,2,1,0
829,1,0,0
26050,0,0,2
835,0,4,5
941,0,2,13
23083,0,0,0
723,0,0,0
168,1,0,0
5303,0,0,0
26050,0,0,2
26050,1,0,0
3206,0,0,5
10286,0,0,2
5124,0,0,0
794,0,0,0
4739,0,5,3
4499,0,0,0
13742,0,0,1
6324,1,0,8
1051,0,1,0
304,0,0,1
21522,0,3,0
273,4,2,0
6324,1,0,8
2973,0,0,2
4827,0,11,10
9238,0,2,0
1574,0,0,0
37603,0,0,0
1028,0,10,0
23869,0,0,0
2032,0,0,0
26050,0,0,2
26050,0,0,7
5970,0,0,12
1869,0,0,0
2108,0,1,2
583,0,1,0
10286,0,0,0
23869,0,0,0
8438,0,30,5
13405,0,5,0
5323,0,0,0
26050,1,0,0
16301,0,1,0
26050,0,0,2
3152,0,0,0
13405,0,5,0
2558,0,0,10
12906,0,0,0
10286,0,0,0
9568,2,0,0
21522,0,3,0
7092,3,0,0
10286,0,0,0
1013,0,0,0
34924,0,2,0
728,1,0,0
1830,1,0,0
21522,0,4,1
9568,2,0,0
6324,5,0,0
5030,0,0,0
273,0,6,0
26050,0,0,7
6324,0,0,2
4622,5,0,0
16301,0,1,0
2130,0,0,0
23083,0,0,1
2343,4,0,0
23083,0,0,0
976,0,0,0
16666,1,0,2
26050,0,0,0
570,0,0,0
9234,0,0,0
305,0,0,18
21522,0,12,0
26050,1,0,0
6324,5,0,0
37603,0,0,0
3150,0,0,0
4827,0,17,9
2130,0,0,0
23083,0,0,0
19498,3,0,0
4499,0,5,0
653,0,1,0
10286,0,0,4
4827,0,17,9
5970,0,0,12
4535,0,0,0
3597,0,0,0
26050,2,0,0
26754,0,0,0
23083,0,0,0
6324,0,0,0
6130,7,0,0
1899,0,5,0
885,0,0,0
5030,0,0,0
10816,0,0,4
329,0,10,2
20250,1,0,0
23083,0,0,0
410,6,0,0
1765,0,0,28
6580,0,0,2
4917,0,20,0
828,0,0,4
597,1,0,0
3323,0,1,1
2880,0,0,0
6580,0,0,2
1830,0,0,0
2157,0,45,1
6324,1,0,4
26050,1,0,0
1162,0,10,0
13137,0,0,0
6324,0,0,0
26050,1,0,0
915,1,2,1
10286,0,0,1
4308,0,0,35
639,2,0,0
1069,6,0,0
3187,0,0,0
2431,0,0,0
26754,1,0,0
2692,0,2,2
4917,0,20,0
4308,0,0,35
723,0,0,13
12277,0,0,0
9234,0,0,0
8117,0,0,1
941,0,0,1
639,2,0,0
20250,1,0,0
3453,3,0,0
4576,0,0,22
21522,0,3,0
835,0,3,3
4535,0,0,0
1369,0,4,1
2095,0,1,1
1073,0,0,25
23869,0,0,0
6324,0,0,0
26050,1,0,0
624,0,0,0
1008,0,0,4
156,8,0,0
8872,1,0,0
23083,0,0,1
21522,0,3,0
6324,0,0,0
4576,0,0,22
26754,1,0,0
8314,0,0,0
12912,0,0,1
1269,3,0,0
10286,0,0,0
93,1,0,18
12906,0,0,0
6448,0,0,0
284,0,0,0
10286,0,0,1
6324,3,0,0
13137,0,0,0
5529,0,0,0
723,0,0,11
23083,0,0,1
6324,1,0,0
1286,0,0,0
3270,0,0,15
26050,1,0,0
759,1,0,0
232,0,0,4
10286,0,0,7
1723,0,0,0
8872,1,0,0
725,2,0,0
21522,0,12,0
1338,0,2,23
290,0,0,7
3206,0,0,0
1973,0,3,0
10286,0,0,0
996,0,6,4
3206,0,0,6
7352,0,0,0
5845,1,0,0
4671,0,0,0
23083,0,0,0
37603,0,0,0
13137,0,0,0
874,6,7,3
1216,0,0,1
13137,0,0,0
10286,0,0,1
1138,0,0,8
4209,0,0,0
594,0,15,0
26050,2,1,0
3187,0,0,0
10286,0,0,7
1830,0,0,0
991,0,0,2
23083,0,0,1
779,0,0,0
4820,1,0,0
21522,0,3,0
166,0,22,0
1279,0,0,0
297,0,5,10
6324,0,2,0
1195,3,1,0
13742,0,0,3
244,0,0,2
12912,0,0,1
7352,0,0,0
26050,0,0,2
23083,0,0,0
26050,1,0,0
1061,0,5,0
8294,0,0,0
7092,3,0,0
5323,0,0,0
13742,0,4,0
3125,0,0,0
26050,0,0,7
8294,0,0,0
10286,0,0,2
10286,0,0,4
1830,0,0,0
26050,1,0,0
2334,0,0,26
977,1,0,0
10286,0,0,0
979,0,0,0
2965,4,0,0
6324,1,0,4
23869,0,0,0
13137,0,8,9
1765,0,0,28
6130,7,0,0
4827,0,15,9
3122,0,0,0
5970,0,0,12
21522,0,2,0
355,0,0,8
1206,0,0,4
23083,0,0,1
4848,0,0,7
10286,0,0,7
37603,0,0,0
2095,0,0,10
4739,0,5,3
26050,1,0,0
996,0,4,0
36,3,2,0
353,0,0,3
305,0,0,7
230,0,0,0
19498,3,0,0
23869,0,0,0
586,0,6,0
5997,9,0,0
395,0,5,10
1061,0,2,0
3597,6,0,0
2334,1,0,2
13405,0,5,0
8294,0,0,0
7352,0,0,0
1059,0,4,2
3630,0,0,0
1578,3,0,0
6324,2,0,9
8872,1,0,0
10286,0,0,1
12906,0,0,0
26050,1,0,0
13742,0,0,1
3206,0,0,0
23869,0,0,0
4739,0,5,3
23083,0,0,0
8117,0,0,0
2095,0,2,5
3125,0,0,0
3125,1,0,0
306,0,0,0
5997,0,0,0
4848,0,0,7
5323,0,0,0
23083,0,0,0
12912,0,0,1
1378,1,0,0
10286,0,0,1
1562,0,10,1
6324,2,0,9
23083,0,0,0
640,0,0,0
1869,1,0,0
21522,0,2,0
7092,3,0,0
26050,1,0,0
640,0,0,0
2692,0,2,3
1015,0,6,6
23869,0,0,0
11073,0,1,0
21522,0,3,0
