wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
12192,0,0,2
445,0,0,0
915,0,1,1
1129,3,0,3
7843,0,0,0
1205,0,1,0
3505,0,0,0
3524,0,0,13
1776,0,0,0
1319,0,0,4
1661,0,0,2
11399,0,3,0
11399,0,0,1
1578,0,0,0
1741,0,1,19
222,0,11,1
3602,0,0,2
459,3,1,1
459,0,9,0
293,0,2,26
419,0,12,0
3524,0,0,0
3503,0,11,1
14152,0,0,0
1741,0,1,19
1119,0,0,0
1156,0,8,3
3852,0,12,2
4187,0,6,1
1450,0,4,0
343,1,5,1
716,0,0,0
14152,0,0,1
3524,0,0,1
6169,0,0,1
4569,0,0,3
4058,0,0,0
4911,0,0,0
493,6,6,6
702,0,0,2
2988,0,0,6
2884,0,0,4
3602,0,0,2
2988,0,0,5
11399,0,0,0
38,0,9,3
4911,0,0,0
2884,0,4,2
1450,0,8,4
1642,0,3,2
353,0,0,0
4486,0,0,1
4058,0,0,2
15666,0,0,14
1092,0,0,8
11399,0,3,0
16284,0,20,2
170,0,0,2
14152,0,0,0
1450,0,0,4
1650,0,0,40
1450,0,0,4
303,3,0,0
9408,0,1,4
486,2,3,0
2999,3,4,0
619,0,0,0
3505,0,0,0
3852,0,2,0
14152,0,0,0
3852,2,8,15
4486,0,0,6
3602,0,0,3
3852,0,2,2
1568,0,0,0
244,0,2,0
508,0,8,5
570,1,13,15
4486,0,0,5
1686,0,0,2
245,0,0,30
15666,0,0,6
14152,0,0,1
14152,0,0,0
1514,0,0,3
4486,0,0,1
3758,0,0,0
3524,0,0,9
2205,0,0,1
835,0,0,1
4915,0,0,0
2645,0,0,0
16284,0,20,2
3602,1,0,0
4486,0,0,1
1533,0,0,3
493,0,23,3
3100,0,0,1
16284,0,12,3
289,0,0,8
885,0,0,16
3852,0,0,2
526,0,0,0
3852,0,12,2
198,0,11,0
324,0,1,0
1011,2,0,1
731,0,0,5
1366,1,2,0
14152,0,0,0
497,6,1,0
6169,0,1,3
3602,1,0,0
4486,0,0,0
14152,0,0,0
431,0,0,2
40,0,19,2
3505,0,0,0
2222,0,0,3
829,0,0,2
4486,0,0,0
3524,0,0,4
227,0,2,4
2412,0,0,0
15666,0,0,6
7843,0,0,0
3852,0,1,1
3602,0,0,0
3989,0,0,0
3100,0,0,0
4486,0,0,1
14152,0,0,0
260,0,0,15
11399,0,0,0
1650,0,3,1
2412,0,0,0
14152,0,0,0
3100,0,0,0
3524,0,0,9
3524,0,0,0
2884,0,0,4
4090,0,0,10
273,5,3,2
1485,0,0,0
376,1,6,0
1906,0,0,0
1292,0,0,38
4058,0,0,0
2999,3,4,0
486,3,5,0
1650,2,2,0
1004,0,5,14
1906,0,0,0
14152,0,0,0
15666,0,0,14
3100,0,0,3
1650,0,0,16
227,0,0,18
956,0,0,0
3524,0,0,9
289,0,0,8
353,0,0,3
7843,0,0,0
69,1,3,0
1403,0,0,2
181,0,5,2
6297,0,0,0
2988,0,0,6
563,0,0,1
1642,0,1,3
3524,0,3,3
3524,3,0,1
3524,0,0,9
1650,0,8,0
1657,0,0,2
3505,0,0,0
277,0,0,2
3503,0,0,4
3100,0,0,2
305,0,0,1
11399,0,0,4
829,0,0,0
4486,0,0,6
1100,0,5,0
0,0,0,0
179,0,8,8
2093,0,15,10
503,0,10,31
915,0,1,1
486,2,3,0
31,0,3,0
731,0,0,0
1336,2,12,0
6297,0,0,0
4486,0,0,1
538,0,0,0
4090,0,0,3
3989,0,2,0
15666,0,0,6
637,0,0,3
4486,0,0,1
4475,0,0,3
170,5,5,6
640,0,0,24
4486,0,0,6
341,0,2,1
16284,0,20,2
4486,0,0,2
3524,0,1,2
1657,0,0,2
1533,0,0,13
3100,0,0,3
265,1,1,4
1686,0,0,3
1485,0,0,0
459,2,2,2
11399,0,0,0
411,1,5,1
12192,0,0,2
3524,0,0,1
1906,0,0,2
218,0,3,0
9408,0,1,5
3503,0,0,17
687,1,14,6
1220,5,4,0
364,6,0,0
15666,0,0,0
394,0,1,20
4486,0,0,0
570,1,13,15
4486,0,0,1
3524,0,0,13
11399,0,0,1
570,0,0,6
3602,0,0,11
360,2,0,1
3852,0,1,0
1661,0,0,1
497,0,6,12
15666,0,0,14
11399,0,3,0
11399,0,0,0
11399,0,3,0
381,0,0,0
1650,0,18,0
591,0,0,0
15666,0,0,0
843,4,0,0
3100,0,0,0
1450,0,0,1
2988,0,0,6
2884,0,5,0
11399,0,0,0
773,0,2,1
1450,0,3,3
1533,0,0,13
218,0,1,0
6297,0,0,0
394,0,1,20
3852,0,12,2
895,0,0,1
14152,0,0,1
305,0,0,3
798,0,5,15
6991,0,0,0
2999,3,4,0
619,0,14,0
1450,0,1,1
248,0,0,1
2201,2,0,1
557,0,5,0
637,0,1,0
1533,0,0,13
3524,0,0,4
3852,0,8,15
3524,0,3,6
1578,0,0,0
459,1,1,15
1686,0,0,3
4486,0,0,0
1578,0,0,0
1469,0,0,5
2627,0,4,0
16284,0,20,2
3524,0,0,1
36,0,4,0
4486,0,0,1
1661,0,0,1
689,0,2,0
