draw,age,year,Na
32,5,2021,27517970
32,6,2021,14938530
32,7,2021,148994500
33,0,2021,39691200
33,1,2021,105980400
33,2,2021,59719640
33,3,2021,48601340
33,4,2021,9422273
33,5,2021,23243430
33,6,2021,16605190
33,7,2021,165375300
34,0,2021,39760670
34,1,2021,169351900
34,2,2021,68960870
34,3,2021,17701010
34,4,2021,33176640
34,5,2021,19265580
34,6,2021,26600330
34,7,2021,149423200
35,0,2021,221762400
35,1,2021,89773210
35,2,2021,21791920
35,3,2021,50987430
35,4,2021,27817850
35,5,2021,33510130
35,6,2021,71157350
35,7,2021,123874400
36,0,2021,116019000
36,1,2021,23995500
36,2,2021,65367600
36,3,2021,32220700
36,4,2021,43303900
36,5,2021,82286900
36,6,2021,41739600
36,7,2021,113377000
37,0,2021,144174200
37,1,2021,180603100
37,2,2021,34126530
37,3,2021,47611630
37,4,2021,15381290
37,5,2021,23537130
37,6,2021,13657610
37,7,2021,133609600
38,0,2021,133895900
38,1,2021,32080380
38,2,2021,72048870
38,3,2021,45311200
38,4,2021,9777719
38,5,2021,19389110
38,6,2021,12962600
38,7,2021,125521800
39,0,2021,133748900
39,1,2021,170444400
39,2,2021,73092440
39,3,2021,18678260
39,4,2021,45658890
39,5,2021,22079560
39,6,2021,30390890
39,7,2021,173851500
40,0,2021,140974100
40,1,2021,182486700
40,2,2021,76925840
40,3,2021,15897510
40,4,2021,33546060
40,5,2021,23919320
40,6,2021,28544890
40,7,2021,178821900
41,0,2021,38282170
41,1,2021,98699680
41,2,2021,35029350
41,3,2021,54297850
41,4,2021,30753200
41,5,2021,31629040
41,6,2021,77013570
41,7,2021,145470800
42,0,2021,131634100
42,1,2021,55442570
42,2,2021,119629600
42,3,2021,44341270
42,4,2021,8841642
42,5,2021,19376960
42,6,2021,13742700
42,7,2021,148632800
43,0,2021,139362000
43,1,2021,82088750
43,2,2021,68397380
43,3,2021,19153270
43,4,2021,36764190
43,5,2021,24251620
43,6,2021,28262070
43,7,2021,187546400
44,0,2021,130991400
44,1,2021,96899970
44,2,2021,16142830
44,3,2021,34764050
44,4,2021,25358880
44,5,2021,37124260
44,6,2021,80409680
44,7,2021,166446700
45,0,2021,113714000
45,1,2021,30810600
45,2,2021,64094200
45,3,2021,39340700
45,4,2021,46183500
45,5,2021,92825900
45,6,2021,48444800
45,7,2021,113016000
46,0,2021,118680000
46,1,2021,24311300
46,2,2021,67572500
46,3,2021,39749400
46,4,2021,45321800
46,5,2021,88595200
46,6,2021,50368500
46,7,2021,118687000
47,0,2021,225937700
47,1,2021,62964280
47,2,2021,67661040
47,3,2021,15523280
47,4,2021,22788870
47,5,2021,15732760
47,6,2021,23956200
47,7,2021,148289100
48,0,2021,240781400
48,1,2021,56947960
48,2,2021,23569390
48,3,2021,45631580
48,4,2021,10666350
48,5,2021,22964690
48,6,2021,11556210
48,7,2021,117238400
49,0,2021,117187000
49,1,2021,29824100
49,2,2021,74193600
49,3,2021,41790600
49,4,2021,47445200
49,5,2021,98093500
49,6,2021,49230200
49,7,2021,109529000
50,0,2021,243572400
50,1,2021,59108360
50,2,2021,82651210
50,3,2021,51052420
50,4,2021,11916990
50,5,2021,24603400
50,6,2021,14746480
50,7,2021,134063200
51,0,2021,143971700
51,1,2021,94491750
51,2,2021,65087080
51,3,2021,18718840
51,4,2021,31756790
51,5,2021,16601020
51,6,2021,21351610
51,7,2021,148108300
52,0,2021,116279000
52,1,2021,37538300
52,2,2021,70535500
52,3,2021,35751400
52,4,2021,40305900
52,5,2021,91040900
52,6,2021,44880300
52,7,2021,115590000
53,0,2021,89457750
53,1,2021,108717500
53,2,2021,86753260
53,3,2021,51057070
53,4,2021,13185520
53,5,2021,24282800
53,6,2021,16151080
53,7,2021,165334400
54,0,2021,91301590
54,1,2021,113552000
54,2,2021,67342140
54,3,2021,20955860
54,4,2021,42407380
54,5,2021,24732360
54,6,2021,31685310
54,7,2021,164292600
55,0,2021,72372790
55,1,2021,180049100
55,2,2021,74486190
55,3,2021,22278710
55,4,2021,36061300
55,5,2021,23176150
55,6,2021,27013940
55,7,2021,163824100
56,0,2021,114005000
56,1,2021,28739500
56,2,2021,57375900
56,3,2021,34991700
56,4,2021,43998700
56,5,2021,85938400
56,6,2021,47153000
56,7,2021,113202000
57,0,2021,120283000
57,1,2021,36924400
57,2,2021,62342900
57,3,2021,41388200
57,4,2021,45186300
57,5,2021,108031000
57,6,2021,55280900
57,7,2021,134638000
58,0,2021,96908200
58,1,2021,118404200
58,2,2021,81288110
58,3,2021,23487200
58,4,2021,46490630
58,5,2021,21928170
58,6,2021,25180210
58,7,2021,179531300
59,0,2021,98102560
59,1,2021,96459600
59,2,2021,22213930
59,3,2021,45887990
59,4,2021,24083050
59,5,2021,33820590
59,6,2021,79714220
59,7,2021,142724700
60,0,2021,111908000
60,1,2021,24556800
60,2,2021,53615500
60,3,2021,32477100
60,4,2021,40407800
60,5,2021,89005600
60,6,2021,45015700
60,7,2021,104984000
61,0,2021,226678000
61,1,2021,182009500
61,2,2021,75273100
61,3,2021,45829510
61,4,2021,7825515
61,5,2021,16479130
61,6,2021,10111130
61,7,2021,118404100
62,0,2021,117203600
62,1,2021,87131340
62,2,2021,9035572
62,3,2021,39467280
62,4,2021,25320960
62,5,2021,29074510
62,6,2021,58928980
62,7,2021,110180800
63,0,2021,137787400
63,1,2021,72581630
63,2,2021,55808710
63,3,2021,51136810
63,4,2021,11735500
63,5,2021,25362600
63,6,2021,14172790
63,7,2021,141905700
64,0,2021,125008000
64,1,2021,35087300
64,2,2021,69275200
64,3,2021,47510200
64,4,2021,55340200
64,5,2021,106157000
64,6,2021,66232500
64,7,2021,145722000
65,0,2021,118207000
65,1,2021,37997200
65,2,2021,77546000
65,3,2021,45396200
65,4,2021,58607500
65,5,2021,106342000
65,6,2021,54869100
65,7,2021,114380000
66,0,2021,226677900
66,1,2021,223139500
66,2,2021,137458200
66,3,2021,42011090
66,4,2021,7494287
66,5,2021,13573770
