wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
13610,0,15,0
2625,0,0,0
8177,9,0,0
4467,1,0,0
1346,0,0,0
3167,1,7,0
16573,3,0,0
17664,10,0,0
13136,0,0,0
6200,15,0,0
16044,0,0,0
1922,9,0,0
2498,0,0,0
220,0,19,0
17134,2,0,0
1508,0,0,0
2566,0,30,0
491,10,0,0
6647,0,2,0
13815,0,4,0
3625,2,0,0
6192,0,12,0
509,0,3,0
2118,1,0,0
11092,0,0,0
3010,8,0,0
1011,2,0,0
696,0,0,0
1007,5,0,0
17134,2,0,0
1461,0,1,0
6647,0,2,0
2136,2,0,0
701,4,0,0
17664,1,0,0
3264,0,5,0
11092,1,0,0
468,0,0,0
80856,0,1,0
314,0,8,0
10990,1,0,0
709,17,0,0
17664,1,0,0
13815,0,4,0
4496,0,0,0
10629,3,0,0
14987,0,0,0
1386,0,9,0
256,7,0,0
2884,2,0,0
14599,2,0,0
6076,20,20,0
8135,0,0,0
1972,0,0,0
6935,7,0,0
1427,2,0,0
3959,0,0,0
14821,0,0,0
2899,6,0,0
3656,2,6,0
6192,0,16,0
80856,0,1,0
3457,0,0,0
1987,0,0,0
80856,0,1,0
12599,0,0,0
2179,0,1,0
3377,1,0,0
8488,3,0,0
6935,1,0,0
814,2,0,0
3605,33,0,0
6265,16,1,0
9174,0,0,0
645,0,0,0
929,2,5,0
575,0,5,0
22531,0,0,0
10629,3,0,0
1134,24,0,0
2434,0,0,0
541,0,3,0
5576,6,0,0
2179,0,0,0
3648,0,5,0
6293,0,0,0
11092,0,0,0
4599,4,1,0
13815,0,4,0
5109,0,0,0
2289,1,12,0
3041,7,0,0
3241,2,0,0
582,0,0,0
4360,6,0,0
3527,0,0,0
1483,0,0,0
2449,4,0,0
3625,4,0,0
10148,2,0,0
1790,1,0,0
2130,11,0,0
14730,0,0,0
1800,3,2,0
22531,0,0,0
1040,0,0,0
8770,0,12,0
5761,4,0,0
89,2,7,0
2884,2,0,0
2899,2,0,0
80856,0,1,0
3582,0,0,0
4599,0,40,17
11092,0,0,0
144,9,1,0
11092,0,0,0
690,0,1,0
3605,6,1,0
2636,1,0,0
1465,0,0,0
13637,2,0,0
13610,0,1,0
3680,2,0,0
840,7,1,0
1427,2,0,0
1065,1,0,0
709,0,0,0
15474,3,1,0
2899,6,0,0
2014,0,0,0
2401,0,6,0
4112,0,17,0
4599,0,2,0
2156,7,0,0
1498,2,3,0
547,0,0,0
4197,0,3,0
1465,0,0,0
9022,1,8,0
2118,1,0,0
2136,2,0,0
8792,0,2,0
1964,0,30,0
2635,1,3,2
3348,2,0,0
213,0,13,0
17664,10,0,0
1185,2,0,0
22531,0,0,0
3348,2,0,0
429,10,1,0
1288,0,25,0
1744,0,5,2
654,1,0,0
1738,8,0,0
1800,0,1,0
2014,0,0,0
140,1,0,0
1842,0,0,0
5599,2,0,0
17664,1,0,0
1798,0,25,1
1262,3,1,0
3777,0,31,0
80856,0,1,0
1378,2,0,0
6192,0,3,0
3164,0,2,0
6192,2,7,0
6647,0,2,0
1112,23,0,0
256,2,1,0
17511,0,0,0
15474,3,1,0
3959,0,0,0
1445,22,0,0
80856,0,1,0
6192,0,2,0
5841,0,0,0
1073,2,0,0
2139,2,0,0
2131,2,0,0
22531,0,0,0
2015,5,5,0
10148,3,0,0
4197,0,2,0
1738,5,0,0
7274,31,0,0
4112,0,17,0
1638,14,1,0
5599,2,0,0
4197,5,0,0
1913,3,0,0
3648,0,5,0
11092,0,0,0
15474,3,1,0
4129,5,5,0
1232,0,2,0
3959,0,0,0
9174,0,0,0
643,1,1,0
6265,16,1,0
11092,0,0,0
4305,1,0,0
80856,0,1,0
2707,5,0,0
5761,4,0,0
6647,0,0,0
2985,0,0,0
10148,3,5,0
16044,0,0,0
1690,0,0,0
2245,0,0,0
11092,1,0,0
1956,11,0,0
3319,0,0,0
3862,0,0,0
52,8,0,0
2635,1,3,2
2136,2,0,0
14730,0,0,0
13815,0,4,0
6503,0,0,0
4284,2,0,0
2566,0,10,0
11767,1,0,0
3457,0,0,0
80856,0,1,0
8135,4,0,0
245,0,15,0
3605,3,0,0
2899,0,0,0
4197,0,1,0
2899,0,0,0
10148,3,5,0
4941,2,2,0
2835,0,0,0
11092,1,0,0
16044,0,0,0
744,14,0,0
2130,0,0,0
4197,0,2,0
16044,0,0,0
3959,0,0,0
7126,1,0,0
6503,0,2,0
641,4,0,0
14599,0,0,0
1379,0,3,0
9930,4,0,0
4599,0,6,0
6200,16,0,0
3680,4,0,0
6503,1,0,0
1073,0,6,0
1151,2,0,0
144,1,0,0
3457,0,20,0
1722,3,0,0
2130,1,0,0
14344,0,0,0
3241,0,0,0
508,1,0,0
10629,3,0,0
7126,0,0,0
12599,0,0,0
4467,1,0,0
6265,0,0,0
1507,10,4,0
2884,2,0,0
1879,0,0,0
6192,0,16,0
1840,4,0,0
3527,0,0,0
1354,7,1,0
13610,0,1,0
8135,4,0,0
5111,2,0,0
5599,2,0,0
3838,2,0,0
3659,2,0,0
2563,0,5,2
3838,2,0,0
5599,3,0,0
10990,1,0,0
3222,8,1,0
2405,0,13,0
14730,0,0,0
2899,0,0,0
16044,0,0,0
14730,4,0,0
1744,0,13,0
1232,0,2,0
2835,0,0,0
170,30,0,0
7126,0,0,0
4179,2,0,0
6076,4,5,0
4592,0,0,0
3241,0,0,0
13815,0,4,0
4631,0,0,0
6503,0,2,0
2405,0,25,0
12599,0,0,0
1441,0,0,0
4284,1,0,0
6076,0,1,0
10148,0,14,0
1753,0,24,0
13815,0,4,0
8135,0,0,0
6503,0,2,0
15474,3,1,0
857,5,0,0
11092,0,0,0
6192,5,15,0
1623,1,0,0
56092,0,0,0
2595,11,0,0
13610,0,1,0
5181,8,0,0
3605,5,0,0
4631,0,0,0
2563,0,5,2
3733,5,0,0
5040,0,0,0
7863,0,0,0
1469,15,0,0
10148,2,0,0
4599,1,0,0
4599,0,2,0
4599,0,3,0
6939,1,0,0
2707,5,0,0
3393,0,0,0
6200,15,0,0
2062,14,0,0
3838,0,0,0
10148,0,14,0
9930,4,0,0
594,3,0,0
10148,4,0,0
12200,2,0,0
2146,1,0,0
1140,6,0,0
4599,4,0,0
3625,0,0,0
3245,5,0,0
16193,0,0,0
984,2,1,0
6076,0,1,0
2875,3,0,0
16044,2,0,0
1405,9,2,0
4203,2,0,0
6265,0,0,0
3607,0,2,0
1124,0,5,0
12599,0,0,0
16193,0,0,0
575,0,5,0
1986,0,1,0
14344,0,0,0
950,7,12,0
5845,0,0,0
2673,2,1,0
16573,2,1,0
6192,15,0,0
11092,1,0,0
2130,17,0,0
3448,1,2,0
2835,1,0,0
2798,0,0,0
12200,2,0,0
16044,0,0,0
2130,22,0,0
636,13,4,0
2625,2,0,0
580,0,0,0
380,7,0,0
5882,0,0,0
2604,0,1,0
3661,0,1,0
14987,0,0,0
8488,2,0,0
4561,0,0,0
747,0,0,0
1483,0,0,0
3377,0,0,0
17664,7,1,0
10148,3,5,0
3605,6,1,0
6192,0,16,0
882,5,0,0
4203,8,0,0
857,5,0,0
1987,0,0,0
16044,0,0,0
3010,0,0,0
13261,0,1,0
3017,0,25,0
3779,0,0,0
5662,0,0,0
13610,0,1,0
2899,10,9,0
1301,0,0,0
3527,0,0,0
12200,0,0,0
1028,0,6,0
3777,0,31,0
2899,0,0,0
16573,3,0,0
4467,1,0,0
16111,2,8,0
1507,8,4,0
3779,1,0,0
