l_in_bin,age,proportion
17,6,0
18,6,0
19,6,0
20,6,0
21,6,0
22,6,0
23,6,0
24,6,0
25,6,0
26,6,0
27,6,0
28,6,0
29,6,0
30,6,0
31,6,0
32,6,0
33,6,0
34,6,0
35,6,0
36,6,0
37,6,0
38,6,.0099502485
39,6,.014925373
40,6,.0049751243
41,6,.0099502485
42,6,.014925373
43,6,.0099502485
44,6,.014925373
45,6,.014925373
46,6,.0099502485
47,6,.019900497
48,6,.024875622
49,6,.029850746
50,6,.014925373
51,6,.014925373
52,6,.0099502485
53,6,.034825869
54,6,.034825869
55,6,.059701491
56,6,.06467662
57,6,.049751244
58,6,.06467662
59,6,.10447761
60,6,.034825869
61,6,.034825869
62,6,.059701491
63,6,.049751244
64,6,.029850746
65,6,.034825869
66,6,.049751244
67,6,.019900497
68,6,.014925373
69,6,.014925373
70,6,.0099502485
71,6,.0099502485
72,6,0
73,6,.0049751243
74,6,0
75,6,0
77,6,0
78,6,0
82,6,0
16,7,0
17,7,0
18,7,0
19,7,0
20,7,0
21,7,0
22,7,0
23,7,0
24,7,0
25,7,0
26,7,0
27,7,0
28,7,0
29,7,0
30,7,0
31,7,0
32,7,0
33,7,0
34,7,0
35,7,0
36,7,0
37,7,0
38,7,.0024875621
39,7,.0074626864
40,7,.0049751243
41,7,.014925373
42,7,.012437811
43,7,.017412934
44,7,.0099502485
45,7,.027363185
46,7,.019900497
47,7,.029850746
48,7,.027363185
49,7,.027363185
50,7,.039800994
51,7,.019900497
52,7,.039800994
53,7,.0074626864
54,7,.014925373
55,7,.0099502485
56,7,.014925373
57,7,.012437811
58,7,.017412934
59,7,.049751244
60,7,.057213929
61,7,.037313432
62,7,.044776119
63,7,.034825869
64,7,.044776119
65,7,.049751244
66,7,.03233831
67,7,.042288557
68,7,.062189054
69,7,.024875622
70,7,.039800994
71,7,.017412934
72,7,.029850746
73,7,.017412934
74,7,.012437811
75,7,.012437811
77,7,.0024875621
78,7,.0074626864
82,7,.0024875621
