draw,age,year,Na
1,0,2023,141624700
1,1,2023,102461800
1,2,2023,26339670
1,3,2023,66423590
1,4,2023,35092940
1,5,2023,49257650
1,6,2023,105488400
1,7,2023,195989100
2,0,2023,113632000
2,1,2023,26272200
2,2,2023,58651400
2,3,2023,38037800
2,4,2023,46988800
2,5,2023,106407000
2,6,2023,56763300
2,7,2023,111059000
3,0,2023,35963550
3,1,2023,113312000
3,2,2023,73318150
3,3,2023,18543870
3,4,2023,34958250
3,5,2023,20440240
3,6,2023,20508970
3,7,2023,161805900
4,0,2023,119522500
4,1,2023,90460830
4,2,2023,16216830
4,3,2023,36024200
4,4,2023,21415220
4,5,2023,32286010
4,6,2023,73859040
4,7,2023,137337600
5,0,2023,96320270
5,1,2023,118190500
5,2,2023,158562200
5,3,2023,50760100
5,4,2023,13357440
5,5,2023,28034840
5,6,2023,17625720
5,7,2023,154446700
6,0,2023,41602930
6,1,2023,86504020
6,2,2023,25583540
6,3,2023,46001480
6,4,2023,20362660
6,5,2023,30442750
6,6,2023,65856360
6,7,2023,117103400
7,0,2023,84967750
7,1,2023,120876800
7,2,2023,70229640
7,3,2023,15399960
7,4,2023,33464330
7,5,2023,15369880
7,6,2023,19865910
7,7,2023,156935500
8,0,2023,117584000
8,1,2023,22106700
8,2,2023,55635100
8,3,2023,35189200
8,4,2023,46112300
8,5,2023,101999000
8,6,2023,56416800
8,7,2023,125211000
9,0,2023,116679000
9,1,2023,22591800
9,2,2023,56408400
9,3,2023,28507700
9,4,2023,42096600
9,5,2023,92290700
9,6,2023,47200500
9,7,2023,133330000
10,0,2023,140236800
10,1,2023,28383290
10,2,2023,131900900
10,3,2023,49165470
10,4,2023,14422690
10,5,2023,20066850
10,6,2023,12215160
10,7,2023,138611900
11,0,2023,102191800
11,1,2023,31465980
11,2,2023,67041000
11,3,2023,43708060
11,4,2023,8134668
11,5,2023,18508420
11,6,2023,13042050
11,7,2023,124951800
12,0,2023,123238300
12,1,2023,67482610
12,2,2023,68245480
12,3,2023,13974860
12,4,2023,31945070
12,5,2023,18352240
12,6,2023,24716420
12,7,2023,154217200
13,0,2023,142198400
13,1,2023,82420260
13,2,2023,75865750
13,3,2023,22005180
13,4,2023,39730190
13,5,2023,21375300
13,6,2023,28479490
13,7,2023,179903600
14,0,2023,36893080
14,1,2023,91522950
14,2,2023,18757340
14,3,2023,40966630
14,4,2023,20698090
14,5,2023,29889800
14,6,2023,68441300
14,7,2023,131642100
15,0,2023,129715900
15,1,2023,33101700
15,2,2023,129005900
15,3,2023,46942440
15,4,2023,9240653
15,5,2023,19506530
15,6,2023,11588950
15,7,2023,134564700
16,0,2023,100502900
16,1,2023,102618100
16,2,2023,85103680
16,3,2023,43148600
16,4,2023,11908310
16,5,2023,21344150
16,6,2023,13867200
16,7,2023,115341600
17,0,2023,114376000
17,1,2023,33641000
17,2,2023,53336600
17,3,2023,40794200
17,4,2023,47337200
17,5,2023,91159700
17,6,2023,46327000
17,7,2023,113788000
18,0,2023,148632400
18,1,2023,83760180
18,2,2023,18619960
18,3,2023,43044220
18,4,2023,23643310
18,5,2023,31753500
18,6,2023,68569980
18,7,2023,116387900
19,0,2023,91321620
19,1,2023,80864680
19,2,2023,81640700
19,3,2023,42212070
19,4,2023,7606636
19,5,2023,15404030
19,6,2023,8319895
19,7,2023,117353300
20,0,2023,39686270
20,1,2023,30922070
20,2,2023,58905160
20,3,2023,54928320
20,4,2023,14339340
20,5,2023,21042080
20,6,2023,13507660
20,7,2023,159007700
21,0,2023,92236870
21,1,2023,94374000
21,2,2023,28299650
21,3,2023,65162810
21,4,2023,33232460
21,5,2023,40800190
21,6,2023,82367120
21,7,2023,150795300
