wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
1642,0,3,2
5553,2,3,0
1590,0,4,0
3012,0,0,27
1865,0,0,17
13693,0,0,0
526,0,0,1
16284,0,12,3
318,0,2,0
284,0,26,50
1336,0,9,0
5090,0,0,4
2079,0,0,2
5857,0,2,0
4486,0,0,5
201,0,3,0
1244,0,21,2
2972,0,0,0
8434,0,2,0
2359,0,0,0
5874,1,8,2
4915,0,0,0
938,0,0,0
3144,1,0,0
6361,0,0,2
3012,0,2,3
3012,0,3,10
5139,0,0,1
4486,0,0,6
2972,3,0,0
685,1,2,0
2079,0,0,2
1024,0,0,3
3852,0,0,7
6075,0,0,0
227,0,0,12
3524,0,1,2
222,0,0,0
3430,4,6,3
203,0,5,0
5857,0,2,0
2174,0,4,0
11399,0,0,1
481,4,6,0
10546,0,0,2
125111,0,1,0
1403,2,6,0
927,4,0,1
24,1,1,0
1183,0,14,0
1595,0,0,2
207,1,7,0
2201,2,0,1
10546,0,0,2
16284,0,20,2
6151,0,1,20
5874,4,2,0
3399,0,0,0
1642,0,0,1
4475,0,0,3
3503,0,0,17
279,0,0,4
859,0,0,2
586,0,0,0
300,0,0,0
720,2,4,0
742,0,0,0
3088,0,0,3
3602,0,0,6
1642,0,1,3
200,40,2,0
186,0,7,2
431,0,0,28
2793,0,2,4
2900,0,0,6
5823,2,3,0
495,0,16,1
6075,0,0,0
992,0,0,7
585,0,0,10
904,0,0,0
30911,0,5,0
5,0,1,0
3852,2,8,15
6297,0,0,0
11399,0,3,0
841,0,0,1
5874,5,10,0
1652,0,0,5
807,0,0,0
382,0,0,3
608,0,0,5
3506,0,0,2
580,0,0,1
1354,0,0,0
186,0,10,10
2517,0,0,3
30911,0,5,0
223,0,5,9
720,0,0,3
182,0,7,7
9635,0,0,0
1698,0,0,0
773,0,0,8
15130,0,0,2
2025,0,3,3
4911,0,0,0
709,0,0,0
3482,25,2,0
3317,0,0,18
7113,0,0,7
3012,0,0,3
125111,0,1,0
9751,2,8,5
190,1,1,0
3088,0,0,3
139,0,10,3
1676,0,2,6
2600,0,1,0
1454,2,0,2
3503,0,0,17
125111,0,1,0
6329,1,0,0
1323,0,0,4
720,0,0,9
2025,0,3,3
541,0,0,0
1170,2,4,0
175,3,3,4
559,6,6,0
481,7,4,1
213,0,6,3
3315,13,0,0
720,7,23,0
396,3,10,2
1776,0,0,0
907,0,8,6
6698,1,0,0
720,4,6,0
78030,0,1,0
530,0,0,13
525,0,2,2
6698,1,0,0
1757,0,2,5
1741,0,1,20
1595,0,5,0
2541,2,10,0
11399,0,6,1
2592,0,4,0
248,0,4,1
3293,0,0,2
30911,0,5,0
6329,0,1,0
1595,1,0,0
132,4,0,0
585,0,0,13
5162,0,9,0
2026,0,20,0
3012,0,2,8
2972,2,2,0
5346,0,0,0
3524,0,0,4
716,0,0,0
3181,0,0,0
9751,7,0,0
4911,0,0,0
9143,0,0,16
2801,0,0,0
78030,0,1,0
3602,0,0,2
3707,0,0,8
15656,1,0,0
10770,0,0,1
9751,1,0,0
9635,0,1,0
376,0,0,0
2708,0,0,2
256,1,4,0
104,0,5,19
125111,0,1,0
6361,0,1,0
2376,0,1,5
5162,2,7,0
9143,0,0,27
720,2,2,2
3989,0,2,2
622,4,0,0
9408,0,1,5
3503,0,0,4
2222,0,0,3
1676,0,3,0
338,0,0,0
720,4,6,0
720,0,0,1
2972,3,0,0
1475,0,0,1
1650,0,3,1
289,0,0,8
182,0,7,1
9143,0,0,3
9751,7,0,0
1578,0,0,0
316,0,6,0
2940,0,3,1
940,0,0,0
521,4,3,0
1626,0,1,0
4486,0,0,0
9635,0,1,0
229,0,4,14
6329,1,0,0
3524,0,0,9
6329,5,0,0
6352,0,0,2
1021,0,0,0
2884,0,0,15
2025,0,0,5
1595,0,0,0
2972,0,0,0
1481,0,0,0
223,3,17,2
947,0,1,0
382,0,0,0
8434,0,3,0
6075,0,0,0
3852,0,1,1
1792,1,2,0
78030,0,1,0
3458,1,0,0
3271,0,0,26
15666,0,0,0
752,0,0,2
5162,0,0,0
273,5,3,2
9143,0,0,3
1595,2,10,0
15130,0,0,2
971,0,0,5
326,0,0,0
2900,0,0,6
2999,0,5,0
2801,0,0,2
5845,0,0,30
28,0,6,0
125111,0,1,0
2972,0,0,0
394,0,2,20
30911,0,5,0
1595,0,1,0
6169,0,1,3
10254,13,25,0
2988,0,0,5
678,1,1,6
15666,0,0,6
1022,0,10,0
199,0,4,0
9408,0,1,5
1789,0,6,2
2075,0,6,0
1575,0,0,5
2988,0,0,5
15666,0,0,0
379,0,0,0
6361,0,0,1
1349,0,1,0
5559,0,6,15
611,0,0,1
2581,1,0,0
792,2,0,0
5162,2,2,2
1575,0,0,0
3088,0,0,2
3715,0,0,8
352,1,10,2
14152,0,0,1
3852,0,1,1
213,1,14,7
4569,0,0,3
773,0,1,1
366,8,28,0
1169,0,0,1
3070,30,0,0
140,0,0,0
9143,0,0,2
2988,0,0,5
10254,13,25,0
183,0,0,0
2575,0,1,0
1650,0,0,17
6431,0,0,4
5162,4,7,0
30911,0,5,0
3172,0,0,0
30911,0,5,0
720,0,1,0
218,0,10,0
9408,0,1,4
2093,0,15,10
3395,2,1,0
125111,0,1,0
352,1,10,2
3989,1,1,8
1595,0,22,11
841,2,4,0
6075,0,0,4
405,0,5,10
9751,7,0,0
6361,0,0,6
14152,0,0,0
224,2,4,14
78030,0,1,0
2150,0,4,0
1495,0,0,14
9635,0,0,0
1757,1,3,5
2093,0,15,10
6361,0,0,1
6075,0,0,4
3602,0,0,0
1657,0,0,2
5139,0,0,1
1048,2,4,4
198,0,20,0
2654,3,2,0
1514,0,0,5
3852,0,0,2
2972,0,0,0
720,1,0,1
11399,0,0,4
276,0,2,0
3409,0,0,7
10770,0,0,5
598,0,1,0
3144,1,0,0
3293,1,0,0
6075,0,0,0
157,0,0,1
11399,0,0,1
125111,0,1,0
782,0,0,0
169,0,3,2
3172,0,0,0
78030,0,1,0
10254,0,6,6
192,5,7,1
179,0,4,2
15130,0,0,2
936,1,6,2
640,0,0,24
1481,0,0,0
6163,0,1,6
1023,0,0,3
13693,0,0,0
1119,0,0,0
3430,1,2,0
186,3,1,0
125111,0,1,0
3503,0,0,17
2884,0,0,4
10254,13,25,0
1225,0,0,1
1214,0,0,2
339,0,10,3
2223,0,0,7
1170,2,4,0
540,1,2,0
312,0,0,2
5823,4,2,0
348,0,1,2
542,0,0,3
2293,0,0,4
927,5,5,0
859,0,6,0
3852,0,1,1
1650,0,8,0
6361,0,0,6
720,6,2,0
6329,1,0,0
4058,0,0,0
179,0,2,2
10254,20,20,0
2137,0,0,4
1485,0,0,2
203,0,2,3
609,1,0,0
7722,3,15,12
3536,0,1,0
629,0,0,3
1205,0,1,0
314,0,0,0
6151,0,1,20
3144,1,0,0
11399,0,6,1
227,0,3,4
2026,0,19,16
441,6,8,0
1514,0,0,5
1345,0,4,0
2093,1,4,13
93,0,10,2
709,0,0,2
295,0,0,0
292,1,7,2
4479,0,0,3
373,2,3,0
2297,0,2,0
9751,2,8,5
314,0,0,0
807,0,0,0
9143,0,0,13
6163,0,1,1
2988,0,0,6
2940,0,2,0
2884,0,5,0
171,6,3,0
10546,0,0,2
5162,0,0,0
2456,0,0,10
2988,0,0,0
419,0,0,0
495,0,2,1
8782,0,3,0
9143,0,0,0
1010,3,6,0
10254,0,6,6
2560,0,0,4
5934,0,4,0
2793,0,6,3
289,0,20,10
1357,0,0,12
1501,0,0,0
4090,0,0,10
232,0,5,6
8434,0,3,0
130,0,3,2
